Compound_code	Compound_name	Output_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C00160	Glycolate	1668.0	108.8	189.6	above	***	4	3
C03794	N6-(1,2-Dicarboxyethyl)-AMP	480.0	44.115	145.2	above	***	3	3
C00162	Fatty_acid	0.0	0.0	0.0	equal	NA	0	2
C00163	Propanoate	0.0	0.0	0.0	equal	NA	0	1
C02984	L-Aspartyl-tRNA(Asp)	84.0	8.868	14.4	above	***	1	0
C02987	L-Glutamyl-tRNA(Glu)	736.0	198.658	236.8	above	**	4	0
C00169	Carbamoyl_phosphate	1750.0	255.798	740.6	above	**	7	4
C02047	L-Leucyl-tRNA	62.0	8.295	18.0	above	**	1	0
C03082	4-Phospho-L-aspartate	4880.0	623.538	1700.0	above	**	10	6
C04377	5,10-Methylenetetrahydromethanopterin	108.0	25.849	60.8	above	*	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	234.0	83.579	165.6	above	n.s.	3	3
C20396	Methylphosphonate	0.0	0.0	0.0	equal	NA	0	4
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	9205.0	143.689	1058.4	above	***	7	8
C03089	5-Methylthio-D-ribose	47.0	2.561	22.8	above	*	1	1
C00860	L-Histidinol	384.0	95.25	249.6	above	*	4	4
C00862	Methanofuran	40.0	29.611	68.0	above	n.s.	2	1
C02962	D-Allose_6-phosphate	0.0	0.0	0.0	equal	NA	0	2
C00864	Pantothenate	176.0	63.195	192.0	above	n.s.	4	2
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.0	8.035	13.2	below	n.s.	1	8
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	356.0	32.06	46.4	above	***	2	3
C00906	5,6-Dihydrothymine	0.0	0.0	0.0	equal	NA	0	2
C01419	Cys-Gly	63.0	47.827	104.4	above	n.s.	3	4
C16186	L-Ascorbate_6-phosphate	162.0	129.999	525.6	above	n.s.	6	0
C01149	4-Trimethylammoniobutanal	0.0	0.0	0.0	equal	NA	0	1
C01144	(S)-3-Hydroxybutanoyl-CoA	44550.0	80.498	1310.0	above	***	10	7
C01146	2-Hydroxy-3-oxopropanoate	0.0	149.888	227.2	below	n.s.	4	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	18.693	77.6	below	n.s.	2	2
C01142	(3S)-3,6-Diaminohexanoate	14.0	6.164	14.0	above	n.s.	1	0
C06510	Adenosine-GDP-cobinamide	160.0	22.486	28.0	above	***	2	2
C03561	(R)-3-Hydroxybutanoyl-CoA	0.0	0.0	0.0	equal	NA	0	3
C03402	L-Asparaginyl-tRNA(Asn)	63.0	10.131	21.4	above	**	1	0
C03406	N-(L-Arginino)succinate	475.0	223.047	325.0	above	n.s.	5	0
C05512	Deoxyinosine	186.0	71.18	111.6	above	*	3	1
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	49.0	393.711	646.8	below	n.s.	7	1
C07645	Aldophosphamide	0.0	0.0	0.0	equal	NA	0	1
C07648	Thioguanine	0.0	0.0	0.0	equal	NA	0	1
C05519	L-Allothreonine	24.0	7.003	21.6	above	n.s.	1	1
C00327	L-Citrulline	5.0	196.937	384.0	below	n.s.	5	4
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	360.0	67.734	176.4	above	*	3	1
C02320	R-S-Glutathione	0.0	0.0	0.0	equal	NA	0	1
C02352	1,4-beta-D-Xylan	0.0	0.0	0.0	equal	NA	0	3
C02463	Precorrin_2	0.0	0.0	0.0	equal	NA	0	3
C05269	3-Oxohexanoyl-CoA	9104.0	130.535	268.8	above	***	4	0
C03232	3-Phosphonooxypyruvate	180.0	299.472	504.0	below	n.s.	6	0
C18096	D-Allulose_6-phosphate	344.0	37.609	76.0	above	***	2	0
C00269	CDP-diacylglycerol	369.0	48.965	99.0	above	***	3	4
C09814	Benzonitrile	0.0	0.0	0.0	equal	NA	0	2
C11539	Cobalt-precorrin_3	0.0	0.0	0.0	equal	NA	0	2
C11538	Cobalt-sirohydrochlorin	80.0	36.626	66.4	above	n.s.	2	0
C00263	L-Homoserine	60.0	96.736	149.4	below	n.s.	3	16
C00262	Hypoxanthine	2706.0	208.213	524.4	above	***	6	1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	65.0	1.673	16.0	above	***	1	2
C16216	3-Oxostearoyl-CoA	0.0	0.0	0.0	equal	NA	0	2
C00267	alpha-D-Glucose	51.0	43.821	129.6	above	n.s.	3	10
C00266	Glycolaldehyde	29.0	4.4	25.2	above	n.s.	1	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	26.0	9.579	20.8	above	n.s.	1	1
C00402	D-Aspartate	35.0	4.841	16.4	above	*	1	0
C00460	dUTP	0.0	0.0	0.0	equal	NA	0	2
C00286	dGTP	2960.0	61.678	228.8	above	***	4	14
C00283	Hydrogen_sulfide	0.0	510.978	858.6	below	n.s.	9	14
C00282	Hydrogen	46.0	8.065	16.6	above	**	1	0
C00320	Thiosulfate	38.0	10.147	18.8	above	*	1	2
C01962	Thiocysteine	12.0	10.088	14.2	above	n.s.	1	0
C00088	Nitrite	0.0	10.268	11.4	below	n.s.	1	1
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	128.0	191.84	268.8	below	n.s.	4	4
C02218	Dehydroalanine	29.0	8.518	14.8	above	*	1	0
C05947	L-erythro-4-Hydroxyglutamate	584.0	12.419	83.6	above	***	2	2
C05946	D-4-Hydroxy-2-oxoglutarate	897.0	36.664	174.6	above	***	3	3
C01209	Malonyl-[acyl-carrier_protein]	556.0	32.634	51.2	above	***	2	24
C00217	D-Glutamate	153.0	73.106	106.8	above	n.s.	3	2
C00214	Thymidine	8.0	5.741	21.2	above	n.s.	1	1
C00212	Adenosine	0.0	0.0	0.0	equal	NA	0	6
C00606	3-Sulfino-L-alanine	584.0	12.419	83.6	above	***	2	3
C06399	Hydrogenobyrinate	72.0	16.473	24.8	above	**	2	0
C05841	Nicotinate_D-ribonucleoside	0.0	0.0	0.0	equal	NA	0	1
C00035	GDP	1720.0	34.502	308.0	above	***	4	5
C05844	5-L-Glutamyl-taurine	7.0	5.314	11.6	above	n.s.	1	0
C00033	Acetate	3322.0	570.712	1832.6	above	*	11	6
C00031	D-Glucose	40.0	41.446	52.8	below	n.s.	2	5
C00136	Butanoyl-CoA	24396.0	65.771	586.8	above	***	6	10
C00135	L-Histidine	80.0	97.587	336.0	below	n.s.	4	1
C00134	Putrescine	45.0	48.127	72.6	below	n.s.	3	4
C00133	D-Alanine	184.0	39.241	58.4	above	**	2	5
C00131	dATP	3186.0	248.96	1161.0	above	**	9	9
C00130	IMP	256.0	23.082	72.0	above	***	2	8
C05635	5-Hydroxyindoleacetate	16.0	26.964	53.6	below	n.s.	2	0
C05634	5-Hydroxyindoleacetaldehyde	0.0	0.0	0.0	equal	NA	0	2
C06112	L-Glutamyl-tRNA(Gln)	46.0	12.416	14.8	above	**	1	1
C00043	UDP-N-acetyl-alpha-D-glucosamine	824.0	68.418	240.8	above	***	4	8
C00041	L-Alanine	252.0	81.974	109.8	above	*	3	4
C00040	Acyl-CoA	0.0	0.0	0.0	equal	NA	0	7
C00047	L-Lysine	352.0	162.098	169.6	above	*	4	3
C00046	RNA	253036.0	2527.108	13014.4	above	***	28	8
C00044	GTP	7730.0	81.277	388.0	above	***	5	16
C00049	L-Aspartate	16982.0	542.174	3138.8	above	***	14	32
C00048	Glyoxylate	5875.0	164.53	335.0	above	***	5	2
C02642	3-Ureidopropionate	64.0	116.964	265.6	below	n.s.	4	0
C00149	(S)-Malate	46.0	35.808	75.6	above	n.s.	2	15
C06481	L-Seryl-tRNA(Sec)	108.0	9.745	12.8	above	***	1	2
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	1.0	5.571	22.4	below	n.s.	1	1
C06482	L-Selenocysteinyl-tRNA(Sec)	12.0	29.328	68.8	below	n.s.	2	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	159.166	220.8	below	n.s.	4	0
C01101	L-Ribulose_5-phosphate	0.0	0.0	0.0	equal	NA	0	4
C01100	L-Histidinol_phosphate	20.0	37.557	55.2	below	n.s.	2	6
C01103	Orotidine_5'-phosphate	30.0	6.888	16.6	above	*	1	3
C01102	O-Phospho-L-homoserine	5.0	7.499	11.6	below	n.s.	1	3
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	375.0	1757.37	3345.0	below	n.s.	15	7
C03688	Apo-[acyl-carrier-protein]	0.0	0.0	0.0	equal	NA	0	1
C06002	(S)-Methylmalonate_semialdehyde	0.0	0.0	0.0	equal	NA	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.0	8.035	13.2	below	n.s.	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	25.0	246.678	345.0	below	n.s.	5	4
C00227	Acetyl_phosphate	32760.0	916.086	2446.6	above	***	13	2
C16565	Aminopropylcadaverine	3.0	1.72	4.2	above	n.s.	1	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	472.0	37.897	84.8	above	***	2	4
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	162.0	582.95	1236.6	below	n.s.	9	0
C00954	Indole-3-acetate	108.0	49.854	126.6	above	n.s.	3	0
C00957	Mercaptopyruvate	990.0	30.036	181.8	above	***	3	4
C05345	beta-D-Fructose_6-phosphate	86333.0	4763.951	11339.0	above	***	29	19
C00818	D-Glucarate	16.0	26.964	53.6	below	n.s.	2	0
C00819	D-Glutamine	21.0	9.571	16.0	above	n.s.	1	1
C00424	(S)-Lactaldehyde	1.0	5.329	14.0	below	n.s.	1	0
C00429	5,6-Dihydrouracil	0.0	0.0	0.0	equal	NA	0	4
C00817	D-Altronate	364.0	25.935	72.4	above	***	2	2
C03451	(R)-S-Lactoylglutathione	0.0	0.0	0.0	equal	NA	0	1
C01672	Cadaverine	0.0	0.0	0.0	equal	NA	0	1
C00036	Oxaloacetate	29563.0	790.132	5195.2	above	***	17	8
C05223	Dodecanoyl-[acyl-carrier_protein]	1179.0	86.998	86.4	above	***	3	3
C00037	Glycine	14364.0	371.525	3116.4	above	***	14	16
C15809	Iminoglycine	0.0	0.0	0.0	equal	NA	0	1
C16698	N-Acetylmuramic_acid_6-phosphate	6.0	38.852	58.4	below	n.s.	2	0
C03912	(S)-1-Pyrroline-5-carboxylate	2496.0	170.353	332.8	above	***	4	4
C02512	3-Cyano-L-alanine	0.0	0.0	0.0	equal	NA	0	1
C00253	Nicotinate	552.0	77.968	88.8	above	***	3	0
C00250	Pyridoxal	0.0	0.0	0.0	equal	NA	0	2
C00251	Chorismate	108.0	139.728	258.4	below	n.s.	4	6
C00256	(R)-Lactate	0.0	0.0	0.0	equal	NA	0	1
C05338	4-Hydroxyphenylacetyl-CoA	0.0	0.0	0.0	equal	NA	0	1
C00255	Riboflavin	240.0	44.283	63.2	above	***	2	2
C05336	Selenomethionyl-tRNA(Met)	56.0	6.675	13.8	above	***	1	0
C00392	Mannitol	0.0	0.0	0.0	equal	NA	0	2
C00258	D-Glycerate	10.0	13.705	65.6	below	n.s.	2	8
C05335	L-Selenomethionine	21.0	8.704	17.2	above	n.s.	1	2
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	22.0	10.072	17.4	above	n.s.	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	equal	NA	0	4
C01081	Thiamin_monophosphate	4.0	45.466	60.0	below	n.s.	2	0
C01083	alpha,alpha-Trehalose	0.0	0.0	0.0	equal	NA	0	1
C00559	Deoxyadenosine	52.0	8.777	17.6	above	**	1	3
C00491	L-Cystine	0.0	0.0	0.0	equal	NA	0	1
C00492	Raffinose	0.0	0.0	0.0	equal	NA	0	1
C00493	Shikimate	90.0	65.408	107.4	above	n.s.	3	5
C00555	4-Aminobutyraldehyde	0.0	0.0	0.0	equal	NA	0	3
C01089	(R)-3-Hydroxybutanoate	0.0	0.0	0.0	equal	NA	0	3
C00498	ADP-glucose	964.0	72.204	230.4	above	***	4	3
C00882	Dephospho-CoA	80.0	40.588	83.2	above	n.s.	2	2
C00881	Deoxycytidine	0.0	0.0	0.0	equal	NA	0	1
C00078	L-Tryptophan	0.0	0.0	0.0	equal	NA	0	1
C00079	L-Phenylalanine	15561.0	551.323	2966.6	above	***	13	10
C00072	Ascorbate	0.0	0.0	0.0	equal	NA	0	6
C00073	L-Methionine	775.0	150.851	373.0	above	*	5	5
C00071	Aldehyde	6856.0	74.593	260.8	above	***	4	0
C00077	L-Ornithine	45.0	347.731	792.0	below	n.s.	9	7
C00074	Phosphoenolpyruvate	86688.0	879.414	2713.2	above	***	14	12
C00075	UTP	0.0	0.0	0.0	equal	NA	0	8
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	324.0	23.651	60.8	above	***	2	0
C00039	DNA	42532.0	8275.901	32310.6	above	*	49	7
C03127	L-Isoleucyl-tRNA(Ile)	130.0	4.534	14.8	above	***	1	0
C00085	D-Fructose_6-phosphate	1380.0	200.025	370.0	above	***	5	7
C00084	Acetaldehyde	75845.0	501.774	2321.0	above	***	11	11
C00083	Malonyl-CoA	317709.0	7498.962	25370.8	above	***	41	2
C00082	L-Tyrosine	3564.0	124.615	667.2	above	***	6	23
C00080	H+	0.0	0.0	0.0	equal	NA	0	1
C16630	5,6-Dihydro-5-fluorouracil	0.0	0.0	0.0	equal	NA	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	612.0	69.946	144.0	above	***	3	3
C03175	Shikimate_3-phosphate	160.0	151.168	249.6	above	n.s.	4	4
C00089	Sucrose	0.0	0.0	0.0	equal	NA	0	3
C04646	6-Thioinosine-5'-monophosphate	51.0	7.808	8.8	above	***	1	1
C00670	sn-Glycero-3-phosphocholine	0.0	0.0	0.0	equal	NA	0	1
C00671	(S)-3-Methyl-2-oxopentanoic_acid	25.0	228.91	465.0	below	n.s.	5	0
C00672	2-Deoxy-D-ribose_1-phosphate	8.0	5.741	21.2	above	n.s.	1	1
C00673	2-Deoxy-D-ribose_5-phosphate	114.0	30.146	46.0	above	*	2	1
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	100.0	132.853	185.0	below	n.s.	5	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	207.62	473.0	below	n.s.	5	5
C01929	L-Histidinal	45.0	54.893	189.0	below	n.s.	3	3
C05936	N4-Acetylaminobutanal	0.0	0.0	0.0	equal	NA	0	2
C00106	Uracil	1888.0	220.394	1150.4	above	*	8	2
C00105	UMP	6341.0	1390.571	4202.4	above	*	17	13
C00103	D-Glucose_1-phosphate	2240.0	285.527	988.8	above	*	8	17
C00100	Propanoyl-CoA	1394.0	13.529	58.4	above	***	2	1
C00101	Tetrahydrofolate	19120.0	593.215	5544.0	above	***	20	14
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	596.0	29.762	71.2	above	***	2	2
C00109	2-Oxobutanoate	7030.0	642.638	1284.0	above	***	10	7
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	80.0	33.714	62.4	above	n.s.	2	2
C00363	dTDP	36.0	26.218	59.2	above	n.s.	2	0
C15980	(S)-2-Methylbutanoyl-CoA	1167.0	5.776	19.2	above	***	1	3
C05764	Hexadecanoyl-[acp]	1179.0	86.998	86.4	above	***	3	3
C06899	Chloral_hydrate	0.0	0.0	0.0	equal	NA	0	1
C05761	Tetradecanoyl-[acp]	1179.0	86.998	86.4	above	***	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C05762	3-Oxohexadecanoyl-[acp]	3232.0	71.169	168.8	above	***	4	2
C00361	dGDP	390.0	191.217	359.0	above	n.s.	5	3
C00170	5'-Methylthioadenosine	159.0	12.643	93.6	above	*	3	2
C02670	D-Glucuronolactone	0.0	0.0	0.0	equal	NA	0	2
C02992	L-Threonyl-tRNA(Thr)	85.0	10.534	16.8	above	***	1	0
C00179	Agmatine	16.0	34.279	38.4	below	n.s.	2	2
C00178	Thymine	8.0	5.741	21.2	above	n.s.	1	1
C02995	Maltose_6'-phosphate	12.0	42.513	65.2	below	n.s.	2	1
C00447	Sedoheptulose_1,7-bisphosphate	5616.0	43.944	147.6	above	***	3	1
C03090	5-Phosphoribosylamine	120.0	38.913	73.6	above	*	2	5
C04260	O-D-Alanyl-poly(ribitol_phosphate)	86.0	25.349	68.8	above	n.s.	2	0
C07086	Phenylacetic_acid	112.0	39.808	61.6	above	*	2	0
C01077	O-Acetyl-L-homoserine	0.0	0.0	0.0	equal	NA	0	2
C02972	Dihydrolipoylprotein	0.0	0.0	0.0	equal	NA	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	56.0	18.374	76.0	above	n.s.	2	4
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	105.0	73.436	150.0	above	n.s.	3	3
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	177.0	17.013	177.6	above	n.s.	3	3
C00857	Deamino-NAD+	56.0	24.606	54.4	above	n.s.	2	2
C02412	Glycyl-tRNA(Gly)	342.0	15.564	63.6	above	***	2	0
C00853	Cob(I)alamin	0.0	0.0	0.0	equal	NA	0	1
C01179	3-(4-Hydroxyphenyl)pyruvate	52975.0	1538.376	11630.0	above	***	25	7
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	990.0	85.836	118.8	above	***	3	3
C01170	UDP-N-acetyl-D-mannosamine	2.0	9.13	19.8	below	n.s.	1	1
C04411	(2R,3S)-3-Isopropylmalate	0.0	386.292	410.4	below	n.s.	6	10
C01172	beta-D-Glucose_6-phosphate	14124.0	994.405	2337.6	above	***	12	3
C00473	Retinol	0.0	0.0	0.0	equal	NA	0	2
C03892	Phosphatidylglycerophosphate	112.0	26.339	84.8	above	*	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	3164.0	240.922	631.4	above	***	7	2
C00680	meso-2,6-Diaminoheptanedioate	430.0	107.954	289.0	above	*	5	6
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	4.0	18.173	46.4	below	n.s.	2	2
C02411	Glutaconyl-1-CoA	65.0	1.673	16.0	above	***	1	0
C02839	L-Tyrosyl-tRNA(Tyr)	73.0	9.666	21.4	above	**	1	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	0.0	0.0	0.0	equal	NA	0	1
C00689	alpha,alpha'-Trehalose_6-phosphate	3.0	11.842	15.4	below	n.s.	1	4
C05271	trans-Hex-2-enoyl-CoA	4668.0	23.103	76.8	above	***	2	1
C05270	Hexanoyl-CoA	1167.0	5.776	19.2	above	***	1	2
C02554	L-Valyl-tRNA(Val)	101.0	9.274	14.0	above	***	1	0
C00512	S-Benzoate_coenzyme_A	54.0	90.896	144.0	below	n.s.	3	0
C16220	3-Hydroxyoctadecanoyl-[acp]	1062.0	85.268	190.8	above	***	3	3
C00921	Dihydropteroate	688.0	115.821	352.0	above	*	4	2
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	0.0	0.0	0.0	equal	NA	0	2
C00458	dCTP	460.0	36.009	69.6	above	***	2	14
