Compound_code	Compound_name	Input_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C00095	D-Fructose	1456.0	289.088	959.568	above	*	4	8
C00096	GDP-mannose	30.0	8.886	14.877	above	*	3	1
C00097	L-Cysteine	3012.0	152.438	545.424	above	***	15	6
C14099	2-Naphthaldehyde	0.0	0.0	0.0	equal	NA	6	0
C06311	Galactitol_1-phosphate	0.0	0.0	0.0	equal	NA	6	0
C00433	2,5-Dioxopentanoate	16.0	34.848	59.756	below	n.s.	0	2
C14090	1-Naphthaldehyde	0.0	0.0	0.0	equal	NA	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	260.0	36.06	58.908	above	***	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	180.0	82.842	135.99	above	n.s.	0	3
C14096	3-Formylsalicylic_acid	0.0	0.0	0.0	equal	NA	2	0
C02702	L-Prolyl-tRNA(Pro)	0.0	0.0	0.0	equal	NA	1	0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	692.0	35.042	61.104	above	***	1	2
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	67.0	8.949	15.516	above	***	5	1
C05172	Selenophosphoric_acid	3.0	8.89	15.188	below	n.s.	0	1
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	6.0	8.818	14.774	below	n.s.	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	0.0	0.0	equal	NA	1	0
C05775	alpha-Ribazole	342.0	61.044	135.18	above	**	1	3
C07118	Benzoyl_acetyl-CoA	54.0	79.365	132.966	below	n.s.	0	3
C05773	Cobyrinate	0.0	0.0	0.0	equal	NA	2	0
C05778	Sirohydrochlorin	168.0	103.753	235.48	above	n.s.	4	4
C05670	3-Aminopropiononitrile	7.0	8.793	15.14	below	n.s.	0	1
C00164	Acetoacetate	0.0	9.008	15.046	below	n.s.	8	1
C00166	Phenylpyruvate	15561.0	820.571	2584.361	above	***	13	13
C00167	UDP-glucuronate	0.0	0.0	0.0	equal	NA	6	0
C00160	Glycolate	3483.0	80.566	133.515	above	***	4	3
C03794	N6-(1,2-Dicarboxyethyl)-AMP	411.0	60.851	137.454	above	**	3	3
C00162	Fatty_acid	16.0	34.848	59.756	below	n.s.	0	2
C00163	Propanoate	231.0	8.912	15.323	above	***	0	1
C02984	L-Aspartyl-tRNA(Asp)	0.0	0.0	0.0	equal	NA	1	0
C02987	L-Glutamyl-tRNA(Glu)	0.0	0.0	0.0	equal	NA	4	0
C00169	Carbamoyl_phosphate	64.0	116.724	240.384	below	n.s.	7	4
C02047	L-Leucyl-tRNA	0.0	0.0	0.0	equal	NA	1	0
C03082	4-Phospho-L-aspartate	2304.0	312.035	541.26	above	***	10	6
C04377	5,10-Methylenetetrahydromethanopterin	0.0	0.0	0.0	equal	NA	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	612.0	82.186	131.022	above	***	3	3
C20396	Methylphosphonate	0.0	72.537	242.424	below	n.s.	0	4
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	5440.0	580.505	981.312	above	***	7	8
C03089	5-Methylthio-D-ribose	47.0	8.996	14.909	above	**	1	1
C00860	L-Histidinol	80.0	142.153	236.496	below	n.s.	4	4
C00862	Methanofuran	10.0	8.838	14.797	above	n.s.	2	1
C02962	D-Allose_6-phosphate	344.0	36.296	59.396	above	***	0	2
C00864	Pantothenate	220.0	35.053	60.036	above	***	4	2
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	64.0	414.277	946.68	below	n.s.	1	8
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	801.0	79.923	136.665	above	***	2	3
C00906	5,6-Dihydrothymine	16.0	35.861	60.88	below	n.s.	0	2
C01419	Cys-Gly	2280.0	97.645	235.168	above	***	3	4
C16186	L-Ascorbate_6-phosphate	0.0	0.0	0.0	equal	NA	6	0
C01149	4-Trimethylammoniobutanal	4.0	8.712	14.939	below	n.s.	0	1
C01144	(S)-3-Hydroxybutanoyl-CoA	26782.0	302.56	743.883	above	***	10	7
C01146	2-Hydroxy-3-oxopropanoate	0.0	0.0	0.0	equal	NA	4	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	35.943	61.08	below	n.s.	2	2
C01142	(3S)-3,6-Diaminohexanoate	0.0	0.0	0.0	equal	NA	1	0
C06510	Adenosine-GDP-cobinamide	136.0	35.776	59.884	above	*	2	2
C03561	(R)-3-Hydroxybutanoyl-CoA	5031.0	80.831	136.026	above	***	0	3
C03402	L-Asparaginyl-tRNA(Asn)	0.0	0.0	0.0	equal	NA	1	0
C03406	N-(L-Arginino)succinate	0.0	0.0	0.0	equal	NA	5	0
C05512	Deoxyinosine	52.0	8.758	15.088	above	**	3	1
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	1.0	8.961	14.52	below	n.s.	7	1
C07645	Aldophosphamide	22.0	8.958	14.705	above	n.s.	0	1
C07648	Thioguanine	51.0	9.009	15.305	above	**	0	1
C05519	L-Allothreonine	24.0	9.113	15.04	above	n.s.	1	1
C00327	L-Citrulline	304.0	144.62	239.424	above	n.s.	5	4
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	15.0	9.123	15.036	above	n.s.	3	1
C02320	R-S-Glutathione	7.0	8.793	15.14	below	n.s.	0	1
C02352	1,4-beta-D-Xylan	0.0	81.307	132.048	below	n.s.	0	3
C02463	Precorrin_2	9.0	80.365	134.028	below	n.s.	0	3
C05269	3-Oxohexanoyl-CoA	0.0	0.0	0.0	equal	NA	4	0
C03232	3-Phosphonooxypyruvate	0.0	0.0	0.0	equal	NA	6	0
C18096	D-Allulose_6-phosphate	0.0	0.0	0.0	equal	NA	2	0
C00269	CDP-diacylglycerol	512.0	99.184	234.344	above	*	3	4
C09814	Benzonitrile	112.0	35.584	58.488	above	*	0	2
C11539	Cobalt-precorrin_3	68.0	35.726	57.988	above	n.s.	0	2
C11538	Cobalt-sirohydrochlorin	0.0	0.0	0.0	equal	NA	2	0
C00263	L-Homoserine	1664.0	1808.626	3839.68	below	n.s.	3	16
C00262	Hypoxanthine	52.0	8.758	15.088	above	**	6	1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	260.0	36.06	58.908	above	***	1	2
C16216	3-Oxostearoyl-CoA	472.0	35.751	59.276	above	***	0	2
C00267	alpha-D-Glucose	1800.0	715.554	1496.38	above	n.s.	3	10
C00266	Glycolaldehyde	0.0	0.0	0.0	equal	NA	1	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	6.0	8.932	15.378	below	n.s.	1	1
C00402	D-Aspartate	0.0	0.0	0.0	equal	NA	1	0
C00460	dUTP	68.0	35.075	60.1	above	n.s.	0	2
C00286	dGTP	3472.0	671.709	2957.696	above	n.s.	4	14
C00283	Hydrogen_sulfide	210.0	927.591	2940.574	below	n.s.	9	14
C00282	Hydrogen	0.0	0.0	0.0	equal	NA	1	0
C00320	Thiosulfate	152.0	35.655	55.56	above	**	1	2
C01962	Thiocysteine	0.0	0.0	0.0	equal	NA	1	0
C00088	Nitrite	0.0	9.129	14.89	below	n.s.	1	1
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	112.0	140.844	230.016	below	n.s.	4	4
C02218	Dehydroalanine	0.0	0.0	0.0	equal	NA	1	0
C05947	L-erythro-4-Hydroxyglutamate	584.0	25.313	61.452	above	***	2	2
C05946	D-4-Hydroxy-2-oxoglutarate	897.0	46.832	137.01	above	***	3	3
C01209	Malonyl-[acyl-carrier_protein]	121368.0	4380.638	8737.488	above	***	2	24
C00217	D-Glutamate	122.0	25.679	59.95	above	*	3	2
C00214	Thymidine	8.0	9.154	14.542	below	n.s.	1	1
C00212	Adenosine	3000.0	178.247	535.752	above	***	0	6
C00606	3-Sulfino-L-alanine	960.0	47.022	136.569	above	***	2	3
C06399	Hydrogenobyrinate	0.0	0.0	0.0	equal	NA	2	0
C05841	Nicotinate_D-ribonucleoside	52.0	8.758	15.088	above	**	0	1
C00035	GDP	1535.0	133.55	371.275	above	***	4	5
C05844	5-L-Glutamyl-taurine	0.0	0.0	0.0	equal	NA	1	0
C00033	Acetate	8316.0	320.83	551.628	above	***	11	6
C00031	D-Glucose	285.0	153.484	380.2	above	n.s.	2	5
C00136	Butanoyl-CoA	58250.0	459.733	1496.65	above	***	6	10
C00135	L-Histidine	49.0	8.819	14.675	above	**	4	1
C00134	Putrescine	160.0	99.157	240.8	above	n.s.	3	4
C00133	D-Alanine	380.0	150.091	377.035	above	n.s.	2	5
C00131	dATP	5706.0	267.452	1220.706	above	***	9	9
C00130	IMP	5712.0	307.949	963.68	above	***	2	8
C05635	5-Hydroxyindoleacetate	0.0	0.0	0.0	equal	NA	2	0
C05634	5-Hydroxyindoleacetaldehyde	16.0	34.848	59.756	below	n.s.	0	2
C06112	L-Glutamyl-tRNA(Gln)	46.0	8.889	14.807	above	**	1	1
C00043	UDP-N-acetyl-alpha-D-glucosamine	1632.0	328.452	953.304	above	*	4	8
C00041	L-Alanine	688.0	90.413	242.156	above	**	3	4
C00040	Acyl-CoA	2478.0	220.924	729.092	above	***	0	7
C00047	L-Lysine	552.0	45.638	133.968	above	***	4	3
C00046	RNA	14264.0	319.194	959.576	above	***	28	8
C00044	GTP	35872.0	757.57	3846.784	above	***	5	16
C00049	L-Aspartate	69120.0	3488.311	15434.784	above	***	14	32
C00048	Glyoxylate	788.0	24.806	59.558	above	***	5	2
C02642	3-Ureidopropionate	0.0	0.0	0.0	equal	NA	4	0
C00149	(S)-Malate	2850.0	1203.784	3455.775	above	n.s.	2	15
C06481	L-Seryl-tRNA(Sec)	12.0	35.558	60.752	below	n.s.	1	2
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	11.0	8.856	14.793	above	n.s.	1	1
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	0.0	0.0	equal	NA	2	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	0.0	0.0	equal	NA	4	0
C01101	L-Ribulose_5-phosphate	0.0	144.946	231.84	below	n.s.	0	4
C01100	L-Histidinol_phosphate	636.0	238.936	549.048	above	n.s.	2	6
C01103	Orotidine_5'-phosphate	126.0	57.704	135.063	above	n.s.	1	3
C01102	O-Phospho-L-homoserine	45.0	82.281	132.606	below	n.s.	1	3
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	91.0	271.196	739.515	below	n.s.	15	7
C03688	Apo-[acyl-carrier-protein]	15.0	8.816	14.768	above	n.s.	0	1
C06002	(S)-Methylmalonate_semialdehyde	4.0	8.712	14.939	below	n.s.	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	64.0	414.277	946.68	below	n.s.	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	16.0	143.376	232.32	below	n.s.	5	4
C00227	Acetyl_phosphate	786.0	24.521	60.632	above	***	13	2
C16565	Aminopropylcadaverine	0.0	0.0	0.0	equal	NA	1	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	988.0	111.475	241.964	above	***	2	4
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	0.0	0.0	equal	NA	9	0
C00954	Indole-3-acetate	0.0	0.0	0.0	equal	NA	3	0
C00957	Mercaptopyruvate	1372.0	71.171	239.42	above	***	3	4
C05345	beta-D-Fructose_6-phosphate	61332.0	1815.405	5299.442	above	***	29	19
C00818	D-Glucarate	0.0	0.0	0.0	equal	NA	2	0
C00819	D-Glutamine	21.0	8.789	15.12	above	n.s.	1	1
C00424	(S)-Lactaldehyde	0.0	0.0	0.0	equal	NA	1	0
C00429	5,6-Dihydrouracil	64.0	143.442	243.52	below	n.s.	0	4
C00817	D-Altronate	364.0	24.811	59.902	above	***	2	2
C03451	(R)-S-Lactoylglutathione	25.0	9.073	15.267	above	*	0	1
C01672	Cadaverine	3.0	8.95	15.38	below	n.s.	0	1
C00036	Oxaloacetate	7400.0	326.076	976.992	above	***	17	8
C05223	Dodecanoyl-[acyl-carrier_protein]	2070.0	81.602	136.89	above	***	3	3
C00037	Glycine	11136.0	1190.778	3808.528	above	**	14	16
C15809	Iminoglycine	0.0	8.706	15.081	below	n.s.	0	1
C16698	N-Acetylmuramic_acid_6-phosphate	0.0	0.0	0.0	equal	NA	2	0
C03912	(S)-1-Pyrroline-5-carboxylate	2496.0	144.873	239.584	above	***	4	4
C02512	3-Cyano-L-alanine	7.0	8.793	15.14	below	n.s.	0	1
C00253	Nicotinate	0.0	0.0	0.0	equal	NA	3	0
C00250	Pyridoxal	76.0	35.736	61.252	above	n.s.	0	2
C00251	Chorismate	384.0	183.339	544.392	above	n.s.	4	6
C00256	(R)-Lactate	413.0	8.893	14.786	above	***	0	1
C05338	4-Hydroxyphenylacetyl-CoA	6.0	8.818	14.774	below	n.s.	0	1
C00255	Riboflavin	192.0	36.31	58.932	above	**	2	2
C05336	Selenomethionyl-tRNA(Met)	0.0	0.0	0.0	equal	NA	1	0
C00392	Mannitol	918.0	25.243	59.916	above	***	0	2
C00258	D-Glycerate	32.0	413.722	966.848	below	n.s.	2	8
C05335	L-Selenomethionine	112.0	25.063	60.928	above	*	1	2
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	0.0	0.0	0.0	equal	NA	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	496.0	143.907	247.616	above	*	0	4
C01081	Thiamin_monophosphate	0.0	0.0	0.0	equal	NA	2	0
C01083	alpha,alpha-Trehalose	3.0	8.911	15.613	below	n.s.	0	1
C00559	Deoxyadenosine	186.0	59.727	135.06	above	n.s.	1	3
C00491	L-Cystine	12.0	8.798	15.035	above	n.s.	0	1
C00492	Raffinose	0.0	9.067	15.147	below	n.s.	0	1
C00493	Shikimate	250.0	163.525	367.705	above	n.s.	3	5
C00555	4-Aminobutyraldehyde	36.0	78.407	134.451	below	n.s.	0	3
C01089	(R)-3-Hydroxybutanoate	0.0	78.438	135.27	below	n.s.	0	3
C00498	ADP-glucose	456.0	59.118	137.649	above	**	4	3
C00882	Dephospho-CoA	40.0	36.614	59.192	above	n.s.	2	2
C00881	Deoxycytidine	34.0	8.922	15.237	above	*	0	1
C00078	L-Tryptophan	62.0	9.106	15.389	above	***	0	1
C00079	L-Phenylalanine	9680.0	475.9	1529.65	above	***	13	10
C00072	Ascorbate	162.0	222.405	544.554	below	n.s.	0	6
C00073	L-Methionine	1345.0	148.06	381.13	above	***	5	5
C00071	Aldehyde	0.0	0.0	0.0	equal	NA	4	0
C00077	L-Ornithine	630.0	313.171	750.05	above	n.s.	9	7
C00074	Phosphoenolpyruvate	32208.0	880.06	2138.076	above	***	14	12
C00075	UTP	20656.0	286.48	959.664	above	***	0	8
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	0.0	0.0	0.0	equal	NA	2	0
C00039	DNA	868.0	167.927	739.424	above	n.s.	49	7
C03127	L-Isoleucyl-tRNA(Ile)	0.0	0.0	0.0	equal	NA	1	0
C00085	D-Fructose_6-phosphate	11298.0	289.875	725.55	above	***	5	7
C00084	Acetaldehyde	111364.0	751.236	1786.697	above	***	11	11
C00083	Malonyl-CoA	556.0	36.037	62.04	above	***	41	2
C00082	L-Tyrosine	49496.0	2528.908	8073.092	above	***	6	23
C00080	H+	46.0	8.69	15.214	above	**	0	1
C16630	5,6-Dihydro-5-fluorouracil	4.0	8.965	15.22	below	n.s.	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	333.0	79.522	138.816	above	*	3	3
C03175	Shikimate_3-phosphate	160.0	113.039	240.276	above	n.s.	4	4
C00089	Sucrose	0.0	62.1	135.816	below	n.s.	0	3
C04646	6-Thioinosine-5'-monophosphate	139.0	8.958	14.616	above	***	1	1
C00670	sn-Glycero-3-phosphocholine	2.0	8.987	14.542	below	n.s.	0	1
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.0	0.0	0.0	equal	NA	5	0
C00672	2-Deoxy-D-ribose_1-phosphate	56.0	9.137	14.924	above	***	1	1
C00673	2-Deoxy-D-ribose_5-phosphate	15.0	8.949	15.029	above	n.s.	2	1
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0.0	0.0	0.0	equal	NA	5	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	185.241	380.59	below	n.s.	5	5
C01929	L-Histidinal	45.0	79.961	133.029	below	n.s.	3	3
C05936	N4-Acetylaminobutanal	16.0	34.848	59.756	below	n.s.	0	2
C00106	Uracil	200.0	24.957	59.668	above	**	8	2
C00105	UMP	3809.0	1049.319	2504.71	above	*	17	13
C00103	D-Glucose_1-phosphate	15334.0	1610.207	4319.836	above	***	8	17
C00100	Propanoyl-CoA	162.0	8.74	14.993	above	***	2	1
C00101	Tetrahydrofolate	11214.0	736.141	2952.852	above	***	20	14
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	692.0	35.042	61.104	above	***	2	2
C00109	2-Oxobutanoate	3780.0	321.67	743.519	above	***	10	7
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	136.0	35.812	59.64	above	*	2	2
C00363	dTDP	0.0	0.0	0.0	equal	NA	2	0
C15980	(S)-2-Methylbutanoyl-CoA	10503.0	81.706	134.064	above	***	1	3
C05764	Hexadecanoyl-[acp]	2070.0	81.602	136.89	above	***	3	3
C06899	Chloral_hydrate	22.0	8.958	14.705	above	n.s.	0	1
C05761	Tetradecanoyl-[acp]	2070.0	81.602	136.89	above	***	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	1179.0	82.182	137.124	above	***	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	1179.0	82.182	137.124	above	***	3	3
C05762	3-Oxohexadecanoyl-[acp]	472.0	35.751	59.276	above	***	4	2
C00361	dGDP	1608.0	59.06	136.683	above	***	5	3
C00170	5'-Methylthioadenosine	100.0	25.149	60.578	above	*	3	2
C02670	D-Glucuronolactone	16.0	34.848	59.756	below	n.s.	0	2
C02992	L-Threonyl-tRNA(Thr)	0.0	0.0	0.0	equal	NA	1	0
C00179	Agmatine	24.0	35.569	59.064	below	n.s.	2	2
C00178	Thymine	8.0	9.154	14.542	below	n.s.	1	1
C02995	Maltose_6'-phosphate	10.0	9.14	15.174	above	n.s.	2	1
C00447	Sedoheptulose_1,7-bisphosphate	624.0	8.874	14.988	above	***	3	1
C03090	5-Phosphoribosylamine	930.0	161.144	376.455	above	**	2	5
C04260	O-D-Alanyl-poly(ribitol_phosphate)	0.0	0.0	0.0	equal	NA	2	0
C07086	Phenylacetic_acid	0.0	0.0	0.0	equal	NA	2	0
C01077	O-Acetyl-L-homoserine	32.0	35.875	61.964	below	n.s.	0	2
C02972	Dihydrolipoylprotein	40.0	8.945	15.263	above	**	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	224.0	100.907	243.928	above	n.s.	2	4
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	165.0	60.701	137.355	above	n.s.	3	3
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	129.0	60.606	134.274	above	n.s.	3	3
C00857	Deamino-NAD+	136.0	36.285	58.34	above	*	2	2
C02412	Glycyl-tRNA(Gly)	0.0	0.0	0.0	equal	NA	2	0
C00853	Cob(I)alamin	12.0	9.086	15.182	above	n.s.	0	1
C01179	3-(4-Hydroxyphenyl)pyruvate	4228.0	227.131	746.473	above	***	25	7
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	342.0	81.968	138.816	above	*	3	3
C01170	UDP-N-acetyl-D-mannosamine	2.0	8.875	14.667	below	n.s.	1	1
C04411	(2R,3S)-3-Isopropylmalate	0.0	592.601	1514.62	below	n.s.	6	10
C01172	beta-D-Glucose_6-phosphate	1548.0	80.608	132.489	above	***	12	3
C00473	Retinol	88.0	35.833	58.82	above	n.s.	0	2
C03892	Phosphatidylglycerophosphate	0.0	0.0	0.0	equal	NA	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	140.0	35.381	58.068	above	*	7	2
C00680	meso-2,6-Diaminoheptanedioate	714.0	236.701	536.598	above	n.s.	5	6
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	4.0	36.282	60.616	below	n.s.	2	2
C02411	Glutaconyl-1-CoA	0.0	0.0	0.0	equal	NA	1	0
C02839	L-Tyrosyl-tRNA(Tyr)	0.0	0.0	0.0	equal	NA	1	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	27.0	9.011	14.88	above	*	0	1
C00689	alpha,alpha'-Trehalose_6-phosphate	6064.0	103.968	247.424	above	***	1	4
C05271	trans-Hex-2-enoyl-CoA	1167.0	9.078	14.896	above	***	2	1
C05270	Hexanoyl-CoA	4668.0	36.314	59.584	above	***	1	2
C02554	L-Valyl-tRNA(Val)	0.0	0.0	0.0	equal	NA	1	0
C00512	S-Benzoate_coenzyme_A	0.0	0.0	0.0	equal	NA	3	0
C16220	3-Hydroxyoctadecanoyl-[acp]	387.0	80.023	137.016	above	**	3	3
C00921	Dihydropteroate	120.0	37.035	59.756	above	*	4	2
