Compound_code	Compound_name	Input_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C00226	Primary_alcohol	3412.0	446.602	314.0	above	***	0	2
C00222	3-Oxopropanoate	9.0	111.866	61.27	below	*	2	1
C00221	beta-D-Glucose	153.0	1276.43	624.78	below	*	0	3
C00385	Xanthine	960.0	3660.631	2537.25	below	*	7	5
C00387	Guanosine	891.0	1608.417	868.26	below	n.s.	0	3
C02504	alpha-Isopropylmalate	0.0	19558.095	13023.36	below	*	4	12
C00229	Acyl-carrier_protein	424.0	428.436	240.92	below	n.s.	1	2
C00499	Allantoate	48.0	1112.21	393.8	below	**	0	2
C00380	Cytosine	8.0	106.553	59.2	below	*	1	1
C16396	2,4-Diamino-6-nitrotoluene	6264.0	2294.825	2076.0	above	*	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	1.0	281.846	84.74	below	***	7	1
C00546	Methylglyoxal	0.0	0.0	0.0	equal	NA	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	0.0	0.0	0.0	equal	NA	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	0.0	0.0	0.0	equal	NA	2	0
C02291	L-Cystathionine	192.0	3696.495	1832.32	below	*	0	4
C00364	dTMP	36.0	1573.961	466.48	below	***	1	2
C00365	dUMP	393.0	1506.913	849.24	below	*	4	3
C00362	dGMP	26.0	305.339	104.51	below	**	1	1
C16244	Cobalt-precorrin_7	48.0	581.354	320.32	below	*	2	2
C00360	dAMP	647.0	75.166	47.99	above	***	1	1
C00008	ADP	5724.0	3433.16	2863.62	above	n.s.	6	6
C00007	Oxygen	387.0	179.753	93.38	above	**	0	1
C00006	NADP+	0.0	0.0	0.0	equal	NA	2	0
C00003	NAD+	92.0	592.298	289.92	below	*	3	2
C00002	ATP	43212.0	14486.012	16541.85	above	*	1	13
C00369	Starch	620.0	1907.639	1267.44	below	*	2	4
C05703	Methaneselenol	0.0	0.0	0.0	equal	NA	2	0
C06613	trans-3-Chloroallyl_aldehyde	6856.0	2067.416	1659.04	above	**	5	4
C06507	Adenosyl_cobyrinate_hexaamide	300.0	2573.536	1949.9	below	*	1	5
C16619	6-Thioguanosine_monophosphate	0.0	0.0	0.0	equal	NA	2	0
C11062	4-Hydroxybutyryl-CoA	1080.0	1756.241	623.07	below	*	0	3
C02612	(R)-2-Methylmalate	0.0	16149.68	9155.0	below	*	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	0.0	0.0	0.0	equal	NA	1	0
C16614	6-Methylmercaptopurine	51.0	347.628	135.81	below	**	0	1
C00645	N-Acetyl-D-mannosamine	0.0	0.0	0.0	equal	NA	4	0
C00099	beta-Alanine	372.0	3008.809	2380.2	below	*	2	6
C00311	Isocitrate	1474.0	13719.501	7261.98	below	*	7	11
C00310	D-Xylulose	52.0	544.008	270.68	below	*	2	2
C00641	1,2-Diacyl-sn-glycerol	325.0	3217.663	2060.9	below	*	1	5
C01931	L-Lysyl-tRNA	0.0	0.0	0.0	equal	NA	1	0
C00315	Spermidine	48.0	4729.257	2075.52	below	**	3	4
C00314	Pyridoxine	76.0	1622.772	513.44	below	***	0	2
C00091	Succinyl-CoA	13408.0	6128.215	5090.24	above	*	5	8
C00760	Cellulose	24.0	736.146	413.64	below	*	3	2
C00093	sn-Glycerol_3-phosphate	4990.0	9445.656	7542.2	below	n.s.	3	10
C00094	Sulfite	380.0	10855.986	8782.2	below	*	11	10
C00095	D-Fructose	1456.0	5946.28	5787.04	below	n.s.	4	8
C00096	GDP-mannose	30.0	228.293	84.67	below	**	3	1
C00097	L-Cysteine	3012.0	5768.845	4180.44	below	n.s.	15	6
C14099	2-Naphthaldehyde	0.0	0.0	0.0	equal	NA	6	0
C06311	Galactitol_1-phosphate	0.0	0.0	0.0	equal	NA	6	0
C00433	2,5-Dioxopentanoate	16.0	970.441	515.52	below	*	0	2
C14090	1-Naphthaldehyde	0.0	0.0	0.0	equal	NA	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	260.0	584.86	268.08	below	*	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	180.0	1486.976	694.98	below	*	0	3
C14096	3-Formylsalicylic_acid	0.0	0.0	0.0	equal	NA	2	0
C02702	L-Prolyl-tRNA(Pro)	0.0	0.0	0.0	equal	NA	1	0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	692.0	712.319	349.8	below	n.s.	1	2
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	67.0	105.896	55.04	below	n.s.	5	1
C05172	Selenophosphoric_acid	3.0	380.953	113.44	below	***	0	1
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	6.0	173.819	84.69	below	*	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	0.0	0.0	equal	NA	1	0
C05775	alpha-Ribazole	342.0	1519.52	758.79	below	*	1	3
C07118	Benzoyl_acetyl-CoA	54.0	1564.374	762.21	below	*	0	3
C05773	Cobyrinate	0.0	0.0	0.0	equal	NA	2	0
C05778	Sirohydrochlorin	168.0	3169.717	1738.32	below	*	4	4
C05670	3-Aminopropiononitrile	7.0	341.319	98.84	below	***	0	1
C00164	Acetoacetate	0.0	165.56	80.25	below	**	8	1
C00166	Phenylpyruvate	15561.0	19375.806	16268.59	below	n.s.	13	13
C00167	UDP-glucuronate	0.0	0.0	0.0	equal	NA	6	0
C00160	Glycolate	3483.0	1617.775	840.42	above	**	4	3
C03794	N6-(1,2-Dicarboxyethyl)-AMP	411.0	1139.003	714.18	below	*	3	3
C00162	Fatty_acid	16.0	970.441	515.52	below	*	0	2
C00163	Propanoate	231.0	364.183	108.89	below	*	0	1
C02984	L-Aspartyl-tRNA(Asp)	0.0	0.0	0.0	equal	NA	1	0
C02987	L-Glutamyl-tRNA(Glu)	0.0	0.0	0.0	equal	NA	4	0
C00169	Carbamoyl_phosphate	64.0	2499.279	1469.6	below	*	7	4
C02047	L-Leucyl-tRNA	0.0	0.0	0.0	equal	NA	1	0
C03082	4-Phospho-L-aspartate	2304.0	5126.147	2545.92	below	*	10	6
C04377	5,10-Methylenetetrahydromethanopterin	0.0	0.0	0.0	equal	NA	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	612.0	1893.808	914.49	below	*	3	3
C20396	Methylphosphonate	0.0	1233.881	1046.12	below	*	0	4
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	5440.0	10169.568	4143.36	below	*	7	8
C03089	5-Methylthio-D-ribose	47.0	226.21	84.79	below	**	1	1
C00860	L-Histidinol	80.0	1844.773	1027.2	below	*	4	4
C00862	Methanofuran	10.0	197.888	110.25	below	*	2	1
C02962	D-Allose_6-phosphate	344.0	468.415	229.56	below	n.s.	0	2
C00864	Pantothenate	220.0	1253.351	357.12	below	**	4	2
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	64.0	15739.536	6480.56	below	**	1	8
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	801.0	1568.647	693.72	below	*	2	3
C00906	5,6-Dihydrothymine	16.0	852.9	320.64	below	**	0	2
C01419	Cys-Gly	2280.0	1384.472	1090.56	above	n.s.	3	4
C16186	L-Ascorbate_6-phosphate	0.0	0.0	0.0	equal	NA	6	0
C01149	4-Trimethylammoniobutanal	4.0	242.61	128.88	below	*	0	1
C01144	(S)-3-Hydroxybutanoyl-CoA	26782.0	5437.414	4006.24	above	***	10	7
C01146	2-Hydroxy-3-oxopropanoate	0.0	0.0	0.0	equal	NA	4	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	651.794	336.56	below	*	2	2
C01142	(3S)-3,6-Diaminohexanoate	0.0	0.0	0.0	equal	NA	1	0
C06510	Adenosine-GDP-cobinamide	136.0	882.788	296.92	below	**	2	2
C03561	(R)-3-Hydroxybutanoyl-CoA	5031.0	1596.2	798.21	above	***	0	3
C03402	L-Asparaginyl-tRNA(Asn)	0.0	0.0	0.0	equal	NA	1	0
C03406	N-(L-Arginino)succinate	0.0	0.0	0.0	equal	NA	5	0
C05512	Deoxyinosine	52.0	249.204	97.26	below	**	3	1
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	1.0	281.846	84.74	below	***	7	1
C07645	Aldophosphamide	22.0	161.473	79.6	below	*	0	1
C07648	Thioguanine	51.0	347.628	135.81	below	**	0	1
C05519	L-Allothreonine	24.0	345.955	120.41	below	**	1	1
C00327	L-Citrulline	304.0	6121.707	2076.32	below	**	5	4
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	15.0	251.03	107.58	below	**	3	1
C02320	R-S-Glutathione	7.0	341.319	98.84	below	***	0	1
C02352	1,4-beta-D-Xylan	0.0	1423.031	811.08	below	*	0	3
C02463	Precorrin_2	9.0	3143.006	1269.63	below	**	0	3
C05269	3-Oxohexanoyl-CoA	0.0	0.0	0.0	equal	NA	4	0
C03232	3-Phosphonooxypyruvate	0.0	0.0	0.0	equal	NA	6	0
C18096	D-Allulose_6-phosphate	0.0	0.0	0.0	equal	NA	2	0
C00269	CDP-diacylglycerol	512.0	1440.883	1101.04	below	n.s.	3	4
C09814	Benzonitrile	112.0	778.648	451.84	below	*	0	2
C11539	Cobalt-precorrin_3	68.0	625.062	263.12	below	**	0	2
C11538	Cobalt-sirohydrochlorin	0.0	0.0	0.0	equal	NA	2	0
C00263	L-Homoserine	1664.0	29638.541	21183.36	below	*	3	16
C00262	Hypoxanthine	52.0	249.204	97.26	below	**	6	1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	260.0	584.86	268.08	below	*	1	2
C16216	3-Oxostearoyl-CoA	472.0	486.295	270.6	below	n.s.	0	2
C00267	alpha-D-Glucose	1800.0	12376.52	7073.4	below	*	3	10
C00266	Glycolaldehyde	0.0	0.0	0.0	equal	NA	1	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	6.0	153.145	66.12	below	**	1	1
C00402	D-Aspartate	0.0	0.0	0.0	equal	NA	1	0
C00460	dUTP	68.0	1311.309	386.84	below	***	0	2
C00286	dGTP	3472.0	16215.898	18759.44	below	n.s.	4	14
C00283	Hydrogen_sulfide	210.0	22890.994	17914.54	below	*	9	14
C00282	Hydrogen	0.0	0.0	0.0	equal	NA	1	0
C00320	Thiosulfate	152.0	700.265	311.04	below	*	1	2
C01962	Thiocysteine	0.0	0.0	0.0	equal	NA	1	0
C00088	Nitrite	0.0	153.417	83.42	below	*	1	1
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	112.0	4419.65	1866.08	below	**	4	4
C02218	Dehydroalanine	0.0	0.0	0.0	equal	NA	1	0
C05947	L-erythro-4-Hydroxyglutamate	584.0	688.914	380.76	below	n.s.	2	2
C05946	D-4-Hydroxy-2-oxoglutarate	897.0	1359.511	912.0	below	n.s.	3	3
C01209	Malonyl-[acyl-carrier_protein]	121368.0	122258.57	53259.84	below	n.s.	2	24
C00217	D-Glutamate	122.0	406.756	303.48	below	n.s.	3	2
C00214	Thymidine	8.0	106.553	59.2	below	*	1	1
C00212	Adenosine	3000.0	4539.255	3586.44	below	n.s.	0	6
C00606	3-Sulfino-L-alanine	960.0	1151.221	783.93	below	n.s.	2	3
C06399	Hydrogenobyrinate	0.0	0.0	0.0	equal	NA	2	0
C05841	Nicotinate_D-ribonucleoside	52.0	249.204	97.26	below	**	0	1
C00035	GDP	1535.0	2805.102	2146.4	below	n.s.	4	5
C05844	5-L-Glutamyl-taurine	0.0	0.0	0.0	equal	NA	1	0
C00033	Acetate	8316.0	13110.581	3920.04	below	*	11	6
C00031	D-Glucose	285.0	3861.55	2222.0	below	*	2	5
C00136	Butanoyl-CoA	58250.0	10874.043	8822.9	above	***	6	10
C00135	L-Histidine	49.0	104.815	55.15	below	*	4	1
C00134	Putrescine	160.0	2619.166	1606.08	below	*	3	4
C00133	D-Alanine	380.0	2388.736	1988.4	below	*	2	5
C00131	dATP	5706.0	7471.764	8177.58	below	n.s.	9	9
C00130	IMP	5712.0	6513.372	4950.88	below	n.s.	2	8
C05635	5-Hydroxyindoleacetate	0.0	0.0	0.0	equal	NA	2	0
C05634	5-Hydroxyindoleacetaldehyde	16.0	970.441	515.52	below	*	0	2
C06112	L-Glutamyl-tRNA(Gln)	46.0	188.383	73.94	below	*	1	1
C00043	UDP-N-acetyl-alpha-D-glucosamine	1632.0	9889.703	6351.2	below	*	4	8
C00041	L-Alanine	688.0	4651.223	2419.16	below	*	3	4
C00040	Acyl-CoA	2478.0	4970.549	3743.81	below	n.s.	0	7
C00047	L-Lysine	552.0	1330.018	822.12	below	n.s.	4	3
C00046	RNA	14264.0	5920.299	5562.64	above	*	28	8
C00044	GTP	35872.0	20107.164	24469.92	above	n.s.	5	16
C00049	L-Aspartate	69120.0	82669.429	95749.12	below	n.s.	14	32
C00048	Glyoxylate	788.0	654.191	414.0	above	n.s.	5	2
C02642	3-Ureidopropionate	0.0	0.0	0.0	equal	NA	4	0
C00149	(S)-Malate	2850.0	18678.567	15147.75	below	*	2	15
C06481	L-Seryl-tRNA(Sec)	12.0	1523.811	453.76	below	***	1	2
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	11.0	138.808	72.86	below	*	1	1
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	0.0	0.0	equal	NA	2	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	0.0	0.0	equal	NA	4	0
C01101	L-Ribulose_5-phosphate	0.0	3008.503	1472.16	below	**	0	4
C01100	L-Histidinol_phosphate	636.0	8595.456	4594.32	below	*	2	6
C01103	Orotidine_5'-phosphate	126.0	791.139	591.06	below	*	1	3
C01102	O-Phospho-L-homoserine	45.0	1109.883	606.96	below	*	1	3
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	91.0	6971.466	3880.31	below	*	15	7
C03688	Apo-[acyl-carrier-protein]	15.0	234.483	106.54	below	**	0	1
C06002	(S)-Methylmalonate_semialdehyde	4.0	242.61	128.88	below	*	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	64.0	15739.536	6480.56	below	**	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	16.0	4509.532	1355.84	below	***	5	4
C00227	Acetyl_phosphate	786.0	872.611	449.56	below	n.s.	13	2
C16565	Aminopropylcadaverine	0.0	0.0	0.0	equal	NA	1	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	988.0	3310.614	1650.72	below	*	2	4
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	0.0	0.0	equal	NA	9	0
C00954	Indole-3-acetate	0.0	0.0	0.0	equal	NA	3	0
C00957	Mercaptopyruvate	1372.0	1699.703	1377.12	below	n.s.	3	4
C05345	beta-D-Fructose_6-phosphate	61332.0	50737.991	25564.5	above	n.s.	29	19
C00818	D-Glucarate	0.0	0.0	0.0	equal	NA	2	0
C00819	D-Glutamine	21.0	194.482	92.75	below	*	1	1
C00424	(S)-Lactaldehyde	0.0	0.0	0.0	equal	NA	1	0
C00429	5,6-Dihydrouracil	64.0	3411.599	1282.56	below	**	0	4
C00817	D-Altronate	364.0	429.481	300.08	below	n.s.	2	2
C03451	(R)-S-Lactoylglutathione	25.0	101.27	63.38	below	*	0	1
C01672	Cadaverine	3.0	295.579	129.72	below	**	0	1
C00036	Oxaloacetate	7400.0	8346.873	6074.32	below	n.s.	17	8
C05223	Dodecanoyl-[acyl-carrier_protein]	2070.0	2284.102	883.53	below	n.s.	3	3
C00037	Glycine	11136.0	24633.183	23082.72	below	n.s.	14	16
C15809	Iminoglycine	0.0	485.932	165.6	below	**	0	1
C16698	N-Acetylmuramic_acid_6-phosphate	0.0	0.0	0.0	equal	NA	2	0
C03912	(S)-1-Pyrroline-5-carboxylate	2496.0	4164.7	1485.12	below	*	4	4
C02512	3-Cyano-L-alanine	7.0	341.319	98.84	below	***	0	1
C00253	Nicotinate	0.0	0.0	0.0	equal	NA	3	0
C00250	Pyridoxal	76.0	1622.772	513.44	below	***	0	2
C00251	Chorismate	384.0	4284.555	2649.36	below	*	4	6
C00256	(R)-Lactate	413.0	299.176	97.59	above	*	0	1
C05338	4-Hydroxyphenylacetyl-CoA	6.0	173.819	84.69	below	*	0	1
C00255	Riboflavin	192.0	571.038	285.0	below	*	2	2
C05336	Selenomethionyl-tRNA(Met)	0.0	0.0	0.0	equal	NA	1	0
C00392	Mannitol	918.0	874.886	378.82	above	n.s.	0	2
C00258	D-Glycerate	32.0	10671.126	5146.88	below	**	2	8
C05335	L-Selenomethionine	112.0	431.658	303.74	below	*	1	2
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	0.0	0.0	0.0	equal	NA	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	496.0	4615.054	1501.6	below	**	0	4
C01081	Thiamin_monophosphate	0.0	0.0	0.0	equal	NA	2	0
C01083	alpha,alpha-Trehalose	3.0	335.181	118.07	below	**	0	1
C00559	Deoxyadenosine	186.0	1475.923	932.04	below	*	1	3
C00491	L-Cystine	12.0	231.031	114.52	below	*	0	1
C00492	Raffinose	0.0	311.351	91.79	below	***	0	1
C00493	Shikimate	250.0	2807.046	1929.3	below	*	3	5
C00555	4-Aminobutyraldehyde	36.0	2183.492	1159.92	below	*	0	3
C01089	(R)-3-Hydroxybutanoate	0.0	3326.237	942.66	below	***	0	3
C00498	ADP-glucose	456.0	1951.117	884.49	below	*	4	3
C00882	Dephospho-CoA	40.0	335.542	204.04	below	*	2	2
C00881	Deoxycytidine	34.0	121.096	70.25	below	*	0	1
C00078	L-Tryptophan	62.0	308.144	119.05	below	**	0	1
C00079	L-Phenylalanine	9680.0	11312.089	9703.6	below	n.s.	13	10
C00072	Ascorbate	162.0	6840.799	3182.58	below	**	0	6
C00073	L-Methionine	1345.0	2264.487	1733.6	below	n.s.	5	5
C00071	Aldehyde	0.0	0.0	0.0	equal	NA	4	0
C00077	L-Ornithine	630.0	9420.291	5104.96	below	*	9	7
C00074	Phosphoenolpyruvate	32208.0	24484.396	14395.56	above	n.s.	14	12
C00075	UTP	20656.0	7198.119	6132.64	above	**	0	8
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	0.0	0.0	0.0	equal	NA	2	0
C00039	DNA	868.0	4053.974	4689.86	below	n.s.	49	7
C03127	L-Isoleucyl-tRNA(Ile)	0.0	0.0	0.0	equal	NA	1	0
C00085	D-Fructose_6-phosphate	11298.0	4177.907	3448.9	above	**	5	7
C00084	Acetaldehyde	111364.0	15606.358	12196.8	above	***	11	11
C00083	Malonyl-CoA	556.0	661.149	300.28	below	n.s.	41	2
C00082	L-Tyrosine	49496.0	61995.551	53735.82	below	n.s.	6	23
C00080	H+	46.0	212.233	95.65	below	*	0	1
C16630	5,6-Dihydro-5-fluorouracil	4.0	213.225	80.16	below	**	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	333.0	891.187	495.81	below	*	3	3
C03175	Shikimate_3-phosphate	160.0	1492.101	979.84	below	*	4	4
C00089	Sucrose	0.0	1965.739	845.79	below	**	0	3
C04646	6-Thioinosine-5'-monophosphate	139.0	101.303	48.6	above	n.s.	1	1
C00670	sn-Glycero-3-phosphocholine	2.0	288.344	120.5	below	**	0	1
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.0	0.0	0.0	equal	NA	5	0
C00672	2-Deoxy-D-ribose_1-phosphate	56.0	217.211	77.55	below	**	1	1
C00673	2-Deoxy-D-ribose_5-phosphate	15.0	169.163	71.51	below	**	2	1
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0.0	0.0	0.0	equal	NA	5	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	3233.084	2024.4	below	*	5	5
C01929	L-Histidinal	45.0	1037.685	577.8	below	*	3	3
C05936	N4-Acetylaminobutanal	16.0	970.441	515.52	below	*	0	2
C00106	Uracil	200.0	791.496	404.2	below	*	8	2
C00105	UMP	3809.0	15169.756	12540.97	below	n.s.	17	13
C00103	D-Glucose_1-phosphate	15334.0	25154.731	21575.38	below	n.s.	8	17
C00100	Propanoyl-CoA	162.0	258.166	115.89	below	n.s.	2	1
C00101	Tetrahydrofolate	11214.0	13823.915	15669.92	below	n.s.	20	14
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	692.0	712.319	349.8	below	n.s.	2	2
C00109	2-Oxobutanoate	3780.0	5847.054	4309.27	below	n.s.	10	7
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	136.0	571.054	345.6	below	*	2	2
C00363	dTDP	0.0	0.0	0.0	equal	NA	2	0
C15980	(S)-2-Methylbutanoyl-CoA	10503.0	2321.369	787.95	above	***	1	3
C05764	Hexadecanoyl-[acp]	2070.0	2284.102	883.53	below	n.s.	3	3
C06899	Chloral_hydrate	22.0	161.473	79.6	below	*	0	1
C05761	Tetradecanoyl-[acp]	2070.0	2284.102	883.53	below	n.s.	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	1179.0	1765.345	750.78	below	n.s.	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	1179.0	1765.345	750.78	below	n.s.	3	3
C05762	3-Oxohexadecanoyl-[acp]	472.0	486.295	270.6	below	n.s.	4	2
C00361	dGDP	1608.0	1818.357	1029.45	below	n.s.	5	3
C00170	5'-Methylthioadenosine	100.0	723.731	429.02	below	*	3	2
C02670	D-Glucuronolactone	16.0	970.441	515.52	below	*	0	2
C02992	L-Threonyl-tRNA(Thr)	0.0	0.0	0.0	equal	NA	1	0
C00179	Agmatine	24.0	543.226	283.92	below	*	2	2
C00178	Thymine	8.0	106.553	59.2	below	*	1	1
C02995	Maltose_6'-phosphate	10.0	309.197	82.19	below	***	2	1
C00447	Sedoheptulose_1,7-bisphosphate	624.0	112.942	65.66	above	***	3	1
C03090	5-Phosphoribosylamine	930.0	3508.48	2090.4	below	*	2	5
C04260	O-D-Alanyl-poly(ribitol_phosphate)	0.0	0.0	0.0	equal	NA	2	0
C07086	Phenylacetic_acid	0.0	0.0	0.0	equal	NA	2	0
C01077	O-Acetyl-L-homoserine	32.0	1081.913	346.16	below	***	0	2
C02972	Dihydrolipoylprotein	40.0	157.548	78.67	below	*	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	224.0	2416.75	1221.6	below	*	2	4
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	165.0	1031.4	634.17	below	*	3	3
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	129.0	922.513	670.38	below	*	3	3
C00857	Deamino-NAD+	136.0	751.83	333.64	below	*	2	2
C02412	Glycyl-tRNA(Gly)	0.0	0.0	0.0	equal	NA	2	0
C00853	Cob(I)alamin	12.0	93.49	62.36	below	*	0	1
C01179	3-(4-Hydroxyphenyl)pyruvate	4228.0	5392.556	4477.34	below	n.s.	25	7
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	342.0	1466.915	660.15	below	*	3	3
C01170	UDP-N-acetyl-D-mannosamine	2.0	234.252	77.32	below	***	1	1
C04411	(2R,3S)-3-Isopropylmalate	0.0	14534.697	8568.8	below	*	6	10
C01172	beta-D-Glucose_6-phosphate	1548.0	993.685	538.38	above	*	12	3
C00473	Retinol	88.0	645.892	318.4	below	*	0	2
C03892	Phosphatidylglycerophosphate	0.0	0.0	0.0	equal	NA	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	140.0	613.743	294.48	below	*	7	2
C00680	meso-2,6-Diaminoheptanedioate	714.0	7583.631	3528.06	below	*	5	6
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	4.0	1275.631	509.0	below	**	2	2
C02411	Glutaconyl-1-CoA	0.0	0.0	0.0	equal	NA	1	0
C02839	L-Tyrosyl-tRNA(Tyr)	0.0	0.0	0.0	equal	NA	1	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	27.0	102.723	50.36	below	*	0	1
C00689	alpha,alpha'-Trehalose_6-phosphate	6064.0	2543.357	1072.08	above	***	1	4
C05271	trans-Hex-2-enoyl-CoA	1167.0	257.93	87.55	above	***	2	1
C05270	Hexanoyl-CoA	4668.0	1031.72	350.2	above	***	1	2
C02554	L-Valyl-tRNA(Val)	0.0	0.0	0.0	equal	NA	1	0
C00512	S-Benzoate_coenzyme_A	0.0	0.0	0.0	equal	NA	3	0
C16220	3-Hydroxyoctadecanoyl-[acp]	387.0	2489.991	1035.09	below	**	3	3
C00921	Dihydropteroate	120.0	1459.096	489.6	below	**	4	2
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	4.0	1337.86	436.68	below	***	0	2
