Compound_code	Compound_name	Output_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C02047	L-Leucyl-tRNA	62.0	227.784	103.12	below	*	1	0
C03082	4-Phospho-L-aspartate	4880.0	11330.672	7660.8	below	n.s.	10	6
C04377	5,10-Methylenetetrahydromethanopterin	108.0	583.396	272.92	below	*	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	234.0	1333.136	691.65	below	*	3	3
C20396	Methylphosphonate	0.0	0.0	0.0	equal	NA	0	4
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	9205.0	4966.25	3321.36	above	*	7	8
C03089	5-Methylthio-D-ribose	47.0	226.21	84.79	below	**	1	1
C00860	L-Histidinol	384.0	5336.27	2217.6	below	**	4	4
C00862	Methanofuran	40.0	791.551	441.0	below	*	2	1
C02962	D-Allose_6-phosphate	0.0	0.0	0.0	equal	NA	0	2
C00864	Pantothenate	176.0	1860.911	1096.64	below	*	4	2
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.0	281.846	84.74	below	***	1	8
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	356.0	697.177	308.32	below	*	2	3
C00906	5,6-Dihydrothymine	0.0	0.0	0.0	equal	NA	0	2
C01419	Cys-Gly	63.0	3071.874	889.56	below	***	3	4
C16186	L-Ascorbate_6-phosphate	162.0	6840.799	3182.58	below	**	6	0
C01149	4-Trimethylammoniobutanal	0.0	0.0	0.0	equal	NA	0	1
C01144	(S)-3-Hydroxybutanoyl-CoA	44550.0	13147.715	8627.3	above	***	10	7
C01146	2-Hydroxy-3-oxopropanoate	0.0	1996.386	1098.56	below	*	4	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	651.794	336.56	below	*	2	2
C01142	(3S)-3,6-Diaminohexanoate	14.0	125.728	75.73	below	*	1	0
C06510	Adenosine-GDP-cobinamide	160.0	1833.169	640.04	below	**	2	2
C03561	(R)-3-Hydroxybutanoyl-CoA	0.0	0.0	0.0	equal	NA	0	3
C03402	L-Asparaginyl-tRNA(Asn)	63.0	165.342	77.8	below	*	1	0
C03406	N-(L-Arginino)succinate	475.0	9565.168	3244.25	below	**	5	0
C05512	Deoxyinosine	186.0	1475.923	932.04	below	*	3	1
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	49.0	13810.442	4152.26	below	***	7	1
C07645	Aldophosphamide	0.0	0.0	0.0	equal	NA	0	1
C07648	Thioguanine	0.0	0.0	0.0	equal	NA	0	1
C05519	L-Allothreonine	24.0	345.955	120.41	below	**	1	1
C00327	L-Citrulline	5.0	4058.789	2329.85	below	*	5	4
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	360.0	778.56	530.91	below	n.s.	3	1
C02320	R-S-Glutathione	0.0	0.0	0.0	equal	NA	0	1
C02352	1,4-beta-D-Xylan	0.0	0.0	0.0	equal	NA	0	3
C02463	Precorrin_2	0.0	0.0	0.0	equal	NA	0	3
C05269	3-Oxohexanoyl-CoA	9104.0	3047.821	1431.52	above	***	4	0
C03232	3-Phosphonooxypyruvate	180.0	4807.454	2097.36	below	**	6	0
C18096	D-Allulose_6-phosphate	344.0	468.415	229.56	below	n.s.	2	0
C00269	CDP-diacylglycerol	369.0	1795.851	658.26	below	**	3	4
C09814	Benzonitrile	0.0	0.0	0.0	equal	NA	0	2
C11539	Cobalt-precorrin_3	0.0	0.0	0.0	equal	NA	0	2
C11538	Cobalt-sirohydrochlorin	80.0	681.66	304.88	below	*	2	0
C00263	L-Homoserine	60.0	1004.699	742.56	below	*	3	16
C00262	Hypoxanthine	2706.0	6149.775	3949.8	below	n.s.	6	1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	65.0	146.215	67.02	below	*	1	2
C16216	3-Oxostearoyl-CoA	0.0	0.0	0.0	equal	NA	0	2
C00267	alpha-D-Glucose	51.0	1890.178	759.0	below	**	3	10
C00266	Glycolaldehyde	29.0	140.727	71.5	below	*	1	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	26.0	308.088	89.92	below	***	1	1
C00402	D-Aspartate	35.0	185.296	91.79	below	*	1	0
C00460	dUTP	0.0	0.0	0.0	equal	NA	0	2
C00286	dGTP	2960.0	2462.515	1595.04	above	n.s.	4	14
C00283	Hydrogen_sulfide	0.0	9798.818	7204.14	below	*	9	14
C00282	Hydrogen	46.0	212.233	95.65	below	*	1	0
C00320	Thiosulfate	38.0	175.066	77.76	below	*	1	2
C01962	Thiocysteine	12.0	231.031	114.52	below	*	1	0
C00088	Nitrite	0.0	153.417	83.42	below	*	1	1
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	128.0	2559.208	1014.56	below	**	4	4
C02218	Dehydroalanine	29.0	224.311	92.76	below	**	1	0
C05947	L-erythro-4-Hydroxyglutamate	584.0	688.914	380.76	below	n.s.	2	2
C05946	D-4-Hydroxy-2-oxoglutarate	897.0	1359.511	912.0	below	n.s.	3	3
C01209	Malonyl-[acyl-carrier_protein]	556.0	661.149	300.28	below	n.s.	2	24
C00217	D-Glutamate	153.0	2277.748	956.73	below	**	3	2
C00214	Thymidine	8.0	106.553	59.2	below	*	1	1
C00212	Adenosine	0.0	0.0	0.0	equal	NA	0	6
C00606	3-Sulfino-L-alanine	584.0	688.914	380.76	below	n.s.	2	3
C06399	Hydrogenobyrinate	72.0	590.634	360.48	below	*	2	0
C05841	Nicotinate_D-ribonucleoside	0.0	0.0	0.0	equal	NA	0	1
C00035	GDP	1720.0	2876.131	1625.4	below	n.s.	4	5
C05844	5-L-Glutamyl-taurine	7.0	341.319	98.84	below	***	1	0
C00033	Acetate	3322.0	17469.709	14221.24	below	n.s.	11	6
C00031	D-Glucose	40.0	1255.163	549.64	below	**	2	5
C00136	Butanoyl-CoA	24396.0	3632.306	3085.56	above	***	6	10
C00135	L-Histidine	80.0	1844.773	1027.2	below	*	4	1
C00134	Putrescine	45.0	1135.701	815.04	below	*	3	4
C00133	D-Alanine	184.0	2024.02	752.4	below	**	2	5
C00131	dATP	3186.0	5863.595	7470.9	below	n.s.	9	9
C00130	IMP	256.0	444.011	292.8	below	n.s.	2	8
C05635	5-Hydroxyindoleacetate	16.0	970.441	515.52	below	*	2	0
C05634	5-Hydroxyindoleacetaldehyde	0.0	0.0	0.0	equal	NA	0	2
C06112	L-Glutamyl-tRNA(Gln)	46.0	188.383	73.94	below	*	1	1
C00043	UDP-N-acetyl-alpha-D-glucosamine	824.0	2095.863	1513.2	below	n.s.	4	8
C00041	L-Alanine	252.0	1441.97	638.37	below	*	3	4
C00040	Acyl-CoA	0.0	0.0	0.0	equal	NA	0	7
C00047	L-Lysine	352.0	4988.81	1593.44	below	**	4	3
C00046	RNA	253036.0	88176.953	75124.84	above	**	28	8
C00044	GTP	7730.0	2531.903	2513.05	above	**	5	16
C00049	L-Aspartate	16982.0	20344.436	17630.34	below	n.s.	14	32
C00048	Glyoxylate	5875.0	3807.779	2536.9	above	n.s.	5	2
C02642	3-Ureidopropionate	64.0	3411.599	1282.56	below	**	4	0
C00149	(S)-Malate	46.0	378.329	277.44	below	*	2	15
C06481	L-Seryl-tRNA(Sec)	108.0	239.891	98.84	below	*	1	2
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	1.0	326.855	111.67	below	**	1	1
C06482	L-Selenocysteinyl-tRNA(Sec)	12.0	1523.811	453.76	below	***	2	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	3600.612	1308.48	below	**	4	0
C01101	L-Ribulose_5-phosphate	0.0	0.0	0.0	equal	NA	0	4
C01100	L-Histidinol_phosphate	20.0	775.802	422.64	below	*	2	6
C01103	Orotidine_5'-phosphate	30.0	184.271	82.4	below	*	1	3
C01102	O-Phospho-L-homoserine	5.0	123.32	67.44	below	*	1	3
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	375.0	27162.298	18468.75	below	*	15	7
C03688	Apo-[acyl-carrier-protein]	0.0	0.0	0.0	equal	NA	0	1
C06002	(S)-Methylmalonate_semialdehyde	0.0	0.0	0.0	equal	NA	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.0	281.846	84.74	below	***	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	25.0	4034.415	2305.25	below	*	5	4
C00227	Acetyl_phosphate	32760.0	35993.808	19039.41	below	n.s.	13	2
C16565	Aminopropylcadaverine	3.0	295.579	129.72	below	**	1	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	472.0	486.295	270.6	below	n.s.	2	4
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	162.0	9934.01	5979.69	below	*	9	0
C00954	Indole-3-acetate	108.0	1531.072	1112.16	below	*	3	0
C00957	Mercaptopyruvate	990.0	1183.636	804.42	below	n.s.	3	4
C05345	beta-D-Fructose_6-phosphate	86333.0	71132.335	67626.26	above	n.s.	29	19
C00818	D-Glucarate	16.0	970.441	515.52	below	*	2	0
C00819	D-Glutamine	21.0	194.482	92.75	below	*	1	1
C00424	(S)-Lactaldehyde	1.0	126.115	68.76	below	*	1	0
C00429	5,6-Dihydrouracil	0.0	0.0	0.0	equal	NA	0	4
C00817	D-Altronate	364.0	429.481	300.08	below	n.s.	2	2
C03451	(R)-S-Lactoylglutathione	0.0	0.0	0.0	equal	NA	0	1
C01672	Cadaverine	0.0	0.0	0.0	equal	NA	0	1
C00036	Oxaloacetate	29563.0	32115.042	25960.7	below	n.s.	17	8
C05223	Dodecanoyl-[acyl-carrier_protein]	1179.0	1765.345	750.78	below	n.s.	3	3
C00037	Glycine	14364.0	25379.338	17715.46	below	n.s.	14	16
C15809	Iminoglycine	0.0	0.0	0.0	equal	NA	0	1
C16698	N-Acetylmuramic_acid_6-phosphate	6.0	907.451	483.34	below	*	2	0
C03912	(S)-1-Pyrroline-5-carboxylate	2496.0	4164.7	1485.12	below	*	4	4
C02512	3-Cyano-L-alanine	0.0	0.0	0.0	equal	NA	0	1
C00253	Nicotinate	552.0	1603.021	751.2	below	*	3	0
C00250	Pyridoxal	0.0	0.0	0.0	equal	NA	0	2
C00251	Chorismate	108.0	1492.237	972.88	below	*	4	6
C00256	(R)-Lactate	0.0	0.0	0.0	equal	NA	0	1
C05338	4-Hydroxyphenylacetyl-CoA	0.0	0.0	0.0	equal	NA	0	1
C00255	Riboflavin	240.0	662.574	338.24	below	*	2	2
C05336	Selenomethionyl-tRNA(Met)	56.0	178.753	91.4	below	*	1	0
C00392	Mannitol	0.0	0.0	0.0	equal	NA	0	2
C00258	D-Glycerate	10.0	779.706	442.12	below	*	2	8
C05335	L-Selenomethionine	21.0	197.296	97.9	below	*	1	2
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	22.0	161.473	79.6	below	*	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	equal	NA	0	4
C01081	Thiamin_monophosphate	4.0	991.295	436.36	below	**	2	0
C01083	alpha,alpha-Trehalose	0.0	0.0	0.0	equal	NA	0	1
C00559	Deoxyadenosine	52.0	249.204	97.26	below	**	1	3
C00491	L-Cystine	0.0	0.0	0.0	equal	NA	0	1
C00492	Raffinose	0.0	0.0	0.0	equal	NA	0	1
C00493	Shikimate	90.0	1007.888	664.86	below	*	3	5
C00555	4-Aminobutyraldehyde	0.0	0.0	0.0	equal	NA	0	3
C01089	(R)-3-Hydroxybutanoate	0.0	0.0	0.0	equal	NA	0	3
C00498	ADP-glucose	964.0	2046.717	1237.56	below	n.s.	4	3
C00882	Dephospho-CoA	80.0	793.194	362.6	below	*	2	2
C00881	Deoxycytidine	0.0	0.0	0.0	equal	NA	0	1
C00078	L-Tryptophan	0.0	0.0	0.0	equal	NA	0	1
C00079	L-Phenylalanine	15561.0	19375.806	16268.59	below	n.s.	13	10
C00072	Ascorbate	0.0	0.0	0.0	equal	NA	0	6
C00073	L-Methionine	775.0	4039.847	2282.75	below	*	5	5
C00071	Aldehyde	6856.0	2067.416	1659.04	above	**	4	0
C00077	L-Ornithine	45.0	14555.573	8205.93	below	*	9	7
C00074	Phosphoenolpyruvate	86688.0	33375.598	19824.14	above	**	14	12
C00075	UTP	0.0	0.0	0.0	equal	NA	0	8
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	324.0	865.248	363.68	below	*	2	0
C00039	DNA	42532.0	198644.748	229803.14	below	n.s.	49	7
C03127	L-Isoleucyl-tRNA(Ile)	130.0	139.064	77.67	below	n.s.	1	0
C00085	D-Fructose_6-phosphate	1380.0	1981.033	1382.45	below	n.s.	5	7
C00084	Acetaldehyde	75845.0	11157.251	10467.05	above	***	11	11
C00083	Malonyl-CoA	317709.0	167055.529	152383.47	above	n.s.	41	2
C00082	L-Tyrosine	3564.0	4483.921	3552.48	below	n.s.	6	23
C00080	H+	0.0	0.0	0.0	equal	NA	0	1
C16630	5,6-Dihydro-5-fluorouracil	0.0	0.0	0.0	equal	NA	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	612.0	1893.808	914.49	below	*	3	3
C03175	Shikimate_3-phosphate	160.0	1999.837	1202.56	below	*	4	4
C00089	Sucrose	0.0	0.0	0.0	equal	NA	0	3
C04646	6-Thioinosine-5'-monophosphate	51.0	347.628	135.81	below	**	1	1
C00670	sn-Glycero-3-phosphocholine	0.0	0.0	0.0	equal	NA	0	1
C00671	(S)-3-Methyl-2-oxopentanoic_acid	25.0	8253.226	2779.25	below	**	5	0
C00672	2-Deoxy-D-ribose_1-phosphate	8.0	106.553	59.2	below	*	1	1
C00673	2-Deoxy-D-ribose_5-phosphate	114.0	652.105	337.56	below	*	2	1
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	100.0	5190.315	2524.5	below	**	5	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	2827.091	1787.1	below	*	5	5
C01929	L-Histidinal	45.0	1037.685	577.8	below	*	3	3
C05936	N4-Acetylaminobutanal	0.0	0.0	0.0	equal	NA	0	2
C00106	Uracil	1888.0	6057.252	5067.36	below	n.s.	8	2
C00105	UMP	6341.0	20326.405	21285.87	below	n.s.	17	13
C00103	D-Glucose_1-phosphate	2240.0	8417.831	5762.16	below	*	8	17
C00100	Propanoyl-CoA	1394.0	623.719	377.34	above	**	2	1
C00101	Tetrahydrofolate	19120.0	21113.681	28243.6	below	n.s.	20	14
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	596.0	1328.424	382.44	below	*	2	2
C00109	2-Oxobutanoate	7030.0	12907.743	7670.1	below	n.s.	10	7
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	80.0	712.114	358.72	below	*	2	2
C00363	dTDP	36.0	1573.961	466.48	below	***	2	0
C15980	(S)-2-Methylbutanoyl-CoA	1167.0	257.93	87.55	above	***	1	3
C05764	Hexadecanoyl-[acp]	1179.0	1765.345	750.78	below	n.s.	3	3
C06899	Chloral_hydrate	0.0	0.0	0.0	equal	NA	0	1
C05761	Tetradecanoyl-[acp]	1179.0	1765.345	750.78	below	n.s.	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	387.0	2489.991	1035.09	below	**	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	387.0	2489.991	1035.09	below	**	3	3
C05762	3-Oxohexadecanoyl-[acp]	3232.0	3055.26	1448.64	above	n.s.	4	2
C00361	dGDP	390.0	2805.518	2072.35	below	*	5	3
C00170	5'-Methylthioadenosine	159.0	1862.553	1032.69	below	*	3	2
C02670	D-Glucuronolactone	0.0	0.0	0.0	equal	NA	0	2
C02992	L-Threonyl-tRNA(Thr)	85.0	194.441	96.88	below	*	1	0
C00179	Agmatine	16.0	640.269	242.4	below	**	2	2
C00178	Thymine	8.0	106.553	59.2	below	*	1	1
C02995	Maltose_6'-phosphate	12.0	851.264	455.44	below	*	2	1
C00447	Sedoheptulose_1,7-bisphosphate	5616.0	1016.474	590.94	above	***	3	1
C03090	5-Phosphoribosylamine	120.0	858.173	351.24	below	**	2	5
C04260	O-D-Alanyl-poly(ribitol_phosphate)	86.0	496.013	321.42	below	*	2	0
C07086	Phenylacetic_acid	112.0	778.648	451.84	below	*	2	0
C01077	O-Acetyl-L-homoserine	0.0	0.0	0.0	equal	NA	0	2
C02972	Dihydrolipoylprotein	0.0	0.0	0.0	equal	NA	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	56.0	604.187	305.4	below	*	2	4
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	105.0	735.287	564.18	below	*	3	3
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	177.0	1042.857	687.27	below	*	3	3
C00857	Deamino-NAD+	56.0	875.877	329.24	below	**	2	2
C02412	Glycyl-tRNA(Gly)	342.0	536.88	351.56	below	n.s.	2	0
C00853	Cob(I)alamin	0.0	0.0	0.0	equal	NA	0	1
C01179	3-(4-Hydroxyphenyl)pyruvate	52975.0	67751.373	56561.0	below	n.s.	25	7
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	990.0	1465.381	846.36	below	n.s.	3	3
C01170	UDP-N-acetyl-D-mannosamine	2.0	234.252	77.32	below	***	1	1
C04411	(2R,3S)-3-Isopropylmalate	0.0	5813.885	3295.8	below	*	6	10
C01172	beta-D-Glucose_6-phosphate	14124.0	10659.706	10078.68	above	n.s.	12	3
C00473	Retinol	0.0	0.0	0.0	equal	NA	0	2
C03892	Phosphatidylglycerophosphate	112.0	530.606	257.6	below	*	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	3164.0	6413.116	3695.79	below	n.s.	7	2
C00680	meso-2,6-Diaminoheptanedioate	430.0	3778.041	2139.35	below	*	5	6
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	4.0	1275.631	509.0	below	**	2	2
C02411	Glutaconyl-1-CoA	65.0	146.215	67.02	below	*	1	0
C02839	L-Tyrosyl-tRNA(Tyr)	73.0	185.729	98.46	below	*	1	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	0.0	0.0	0.0	equal	NA	0	1
C00689	alpha,alpha'-Trehalose_6-phosphate	3.0	335.181	118.07	below	**	1	4
C05271	trans-Hex-2-enoyl-CoA	4668.0	1031.72	350.2	above	***	2	1
C05270	Hexanoyl-CoA	1167.0	257.93	87.55	above	***	1	2
C02554	L-Valyl-tRNA(Val)	101.0	148.783	79.21	below	n.s.	1	0
C00512	S-Benzoate_coenzyme_A	54.0	1564.374	762.21	below	*	3	0
C16220	3-Hydroxyoctadecanoyl-[acp]	1062.0	1094.163	608.85	below	n.s.	3	3
C00921	Dihydropteroate	688.0	2353.314	1186.88	below	*	4	2
