Compound_code	Compound_name	Input_metabolite_score	Indegree	Outdegree
C02987	L-Glutamyl-tRNA(Glu)	0.0	4	0
C00169	Carbamoyl_phosphate	64.0	7	4
C02047	L-Leucyl-tRNA	0.0	1	0
C03082	4-Phospho-L-aspartate	2304.0	10	6
C04377	5,10-Methylenetetrahydromethanopterin	0.0	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	612.0	3	3
C20396	Methylphosphonate	0.0	0	4
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	5440.0	7	8
C03089	5-Methylthio-D-ribose	47.0	1	1
C00860	L-Histidinol	80.0	4	4
C00862	Methanofuran	10.0	2	1
C02962	D-Allose_6-phosphate	344.0	0	2
C00864	Pantothenate	220.0	4	2
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	64.0	1	8
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	801.0	2	3
C01419	Cys-Gly	2280.0	3	4
C01149	4-Trimethylammoniobutanal	4.0	0	1
C01144	(S)-3-Hydroxybutanoyl-CoA	26782.0	10	7
C01146	2-Hydroxy-3-oxopropanoate	0.0	4	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	2	2
C01142	(3S)-3,6-Diaminohexanoate	0.0	1	0
C06510	Adenosine-GDP-cobinamide	136.0	2	2
C03561	(R)-3-Hydroxybutanoyl-CoA	5031.0	0	3
C03402	L-Asparaginyl-tRNA(Asn)	0.0	1	0
C03406	N-(L-Arginino)succinate	0.0	5	0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	0.0	1	0
C05512	Deoxyinosine	52.0	3	1
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	1.0	7	1
C07645	Aldophosphamide	22.0	0	1
C07648	Thioguanine	51.0	0	1
C05519	L-Allothreonine	24.0	1	1
C00327	L-Citrulline	304.0	5	4
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	15.0	3	1
C06250	Holo-[carboxylase]	223.0	6	1
C02352	1,4-beta-D-Xylan	0.0	0	3
C02463	Precorrin_2	9.0	0	3
C05269	3-Oxohexanoyl-CoA	0.0	4	0
C18096	D-Allulose_6-phosphate	0.0	2	0
C00269	CDP-diacylglycerol	512.0	3	4
C09814	Benzonitrile	112.0	0	2
C11539	Cobalt-precorrin_3	68.0	0	2
C11538	Cobalt-sirohydrochlorin	0.0	2	0
C00263	L-Homoserine	1664.0	3	16
C00262	Hypoxanthine	52.0	6	1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	260.0	1	2
C16216	3-Oxostearoyl-CoA	472.0	0	2
C00267	alpha-D-Glucose	1800.0	3	10
C00266	Glycolaldehyde	0.0	1	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	6.0	1	1
C16074	Phenylacetonitrile	112.0	0	2
C00460	dUTP	68.0	0	2
C00286	dGTP	3472.0	4	14
C00283	Hydrogen_sulfide	210.0	9	14
C00282	Hydrogen	0.0	1	0
C00320	Thiosulfate	152.0	1	2
C01962	Thiocysteine	0.0	1	0
C00088	Nitrite	0.0	1	1
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	112.0	4	4
C02218	Dehydroalanine	0.0	1	0
C05947	L-erythro-4-Hydroxyglutamate	584.0	2	2
C05946	D-4-Hydroxy-2-oxoglutarate	897.0	3	3
C01209	Malonyl-[acyl-carrier_protein]	121368.0	2	24
C00217	D-Glutamate	122.0	3	2
C00214	Thymidine	8.0	1	1
C00212	Adenosine	3000.0	0	6
C00606	3-Sulfino-L-alanine	960.0	2	3
C06399	Hydrogenobyrinate	0.0	2	0
C00037	Glycine	11136.0	14	16
C00035	GDP	1535.0	4	5
C05844	5-L-Glutamyl-taurine	0.0	1	0
C00033	Acetate	8316.0	11	6
C00031	D-Glucose	285.0	2	5
C00136	Butanoyl-CoA	58250.0	6	10
C00135	L-Histidine	49.0	4	1
C00134	Putrescine	160.0	3	4
C00133	D-Alanine	380.0	2	5
C00131	dATP	5706.0	9	9
C00039	DNA	868.0	49	7
C05635	5-Hydroxyindoleacetate	0.0	2	0
C05634	5-Hydroxyindoleacetaldehyde	16.0	0	2
C06509	Adenosyl_cobinamide_phosphate	160.0	6	2
C00043	UDP-N-acetyl-alpha-D-glucosamine	1632.0	4	8
C00041	L-Alanine	688.0	3	4
C00040	Acyl-CoA	2478.0	0	7
C00047	L-Lysine	552.0	4	3
C00046	RNA	14264.0	28	8
C00044	GTP	35872.0	5	16
C00049	L-Aspartate	69120.0	14	32
C00048	Glyoxylate	788.0	5	2
C02642	3-Ureidopropionate	0.0	4	0
C06481	L-Seryl-tRNA(Sec)	12.0	1	2
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	11.0	1	1
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	2	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	4	0
C01101	L-Ribulose_5-phosphate	0.0	0	4
C01100	L-Histidinol_phosphate	636.0	2	6
C01103	Orotidine_5'-phosphate	126.0	1	3
C01102	O-Phospho-L-homoserine	45.0	1	3
C12739	5'-Deoxy-5-fluorouridine	0.0	1	0
C20423	alpha-D-Ribose_1-methylphosphonate_5-phosphate	1.0	1	1
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	91.0	15	7
C03688	Apo-[acyl-carrier-protein]	15.0	0	1
C06002	(S)-Methylmalonate_semialdehyde	4.0	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	64.0	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	16.0	5	4
C00227	Acetyl_phosphate	786.0	13	2
C16565	Aminopropylcadaverine	0.0	1	0
C20422	alpha-D-Ribose_1-methylphosphonate_5-triphosphate	0.0	4	1
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	9	0
C00954	Indole-3-acetate	0.0	3	0
C00957	Mercaptopyruvate	1372.0	3	4
C05345	beta-D-Fructose_6-phosphate	61332.0	29	19
C00818	D-Glucarate	0.0	2	0
C00819	D-Glutamine	21.0	1	1
C00424	(S)-Lactaldehyde	0.0	1	0
C00429	5,6-Dihydrouracil	64.0	0	4
C03492	D-4'-Phosphopantothenate	784.0	2	4
C00817	D-Altronate	364.0	2	2
C03451	(R)-S-Lactoylglutathione	25.0	0	1
C00026	2-Oxoglutarate	53940.0	23	20
C00036	Oxaloacetate	7400.0	17	8
C05223	Dodecanoyl-[acyl-carrier_protein]	2070.0	3	3
C05841	Nicotinate_D-ribonucleoside	52.0	0	1
C15809	Iminoglycine	0.0	0	1
C00380	Cytosine	8.0	1	1
C03912	(S)-1-Pyrroline-5-carboxylate	2496.0	4	4
C02512	3-Cyano-L-alanine	7.0	0	1
C00253	Nicotinate	0.0	3	0
C00250	Pyridoxal	76.0	0	2
C00251	Chorismate	384.0	4	6
C00256	(R)-Lactate	413.0	0	1
C05338	4-Hydroxyphenylacetyl-CoA	6.0	0	1
C00255	Riboflavin	192.0	2	2
C05336	Selenomethionyl-tRNA(Met)	0.0	1	0
C00392	Mannitol	918.0	0	2
C00258	D-Glycerate	32.0	2	8
C05335	L-Selenomethionine	112.0	1	2
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	0.0	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	496.0	0	4
C01081	Thiamin_monophosphate	0.0	2	0
C01083	alpha,alpha-Trehalose	3.0	0	1
C00559	Deoxyadenosine	186.0	1	3
C00491	L-Cystine	12.0	0	1
C00492	Raffinose	0.0	0	1
C00493	Shikimate	250.0	3	5
C00555	4-Aminobutyraldehyde	36.0	0	3
C01089	(R)-3-Hydroxybutanoate	0.0	0	3
C00498	ADP-glucose	456.0	4	3
C00499	Allantoate	48.0	0	2
C00881	Deoxycytidine	34.0	0	1
C00078	L-Tryptophan	62.0	0	1
C00079	L-Phenylalanine	9680.0	13	10
C00072	Ascorbate	162.0	0	6
C00073	L-Methionine	1345.0	5	5
C00071	Aldehyde	0.0	4	0
C00077	L-Ornithine	630.0	9	7
C00074	Phosphoenolpyruvate	32208.0	14	12
C00075	UTP	20656.0	0	8
C16186	L-Ascorbate_6-phosphate	0.0	6	0
C06407	Precorrin_4	104.0	2	2
C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate	260.0	0	2
C00085	D-Fructose_6-phosphate	11298.0	5	7
C00084	Acetaldehyde	111364.0	11	11
C00083	Malonyl-CoA	556.0	41	2
C00082	L-Tyrosine	49496.0	6	23
C00080	H+	46.0	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	333.0	3	3
C03175	Shikimate_3-phosphate	160.0	4	4
C00089	Sucrose	0.0	0	3
C04646	6-Thioinosine-5'-monophosphate	139.0	1	1
C00670	sn-Glycero-3-phosphocholine	2.0	0	1
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.0	5	0
C00672	2-Deoxy-D-ribose_1-phosphate	56.0	1	1
C00673	2-Deoxy-D-ribose_5-phosphate	15.0	2	1
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0.0	5	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	5	5
C06055	O-Phospho-4-hydroxy-L-threonine	5.0	0	1
C01929	L-Histidinal	45.0	3	3
C05936	N4-Acetylaminobutanal	16.0	0	2
C00106	Uracil	200.0	8	2
C00105	UMP	3809.0	17	13
C00103	D-Glucose_1-phosphate	15334.0	8	17
C00100	Propanoyl-CoA	162.0	2	1
C00101	Tetrahydrofolate	11214.0	20	14
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	692.0	2	2
C00109	2-Oxobutanoate	3780.0	10	7
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	136.0	2	2
C00363	dTDP	0.0	2	0
C15980	(S)-2-Methylbutanoyl-CoA	10503.0	1	3
C05764	Hexadecanoyl-[acp]	2070.0	3	3
C06899	Chloral_hydrate	22.0	0	1
C05761	Tetradecanoyl-[acp]	2070.0	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	1179.0	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	1179.0	3	3
C05762	3-Oxohexadecanoyl-[acp]	472.0	4	2
C00361	dGDP	1608.0	5	3
C00170	5'-Methylthioadenosine	100.0	3	2
C02670	D-Glucuronolactone	16.0	0	2
C02992	L-Threonyl-tRNA(Thr)	0.0	1	0
C00179	Agmatine	24.0	2	2
C00178	Thymine	8.0	1	1
C02995	Maltose_6'-phosphate	10.0	2	1
C18239	Precursor_Z	0.0	4	0
C03090	5-Phosphoribosylamine	930.0	2	5
C04260	O-D-Alanyl-poly(ribitol_phosphate)	0.0	2	0
C00479	Propanal	11.0	0	1
C07086	Phenylacetic_acid	0.0	2	0
C01077	O-Acetyl-L-homoserine	32.0	0	2
C02972	Dihydrolipoylprotein	40.0	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	224.0	2	4
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	165.0	3	3
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	129.0	3	3
C00857	Deamino-NAD+	136.0	2	2
C00853	Cob(I)alamin	12.0	0	1
C01179	3-(4-Hydroxyphenyl)pyruvate	4228.0	25	7
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	342.0	3	3
C01170	UDP-N-acetyl-D-mannosamine	2.0	1	1
C04411	(2R,3S)-3-Isopropylmalate	0.0	6	10
C01172	beta-D-Glucose_6-phosphate	1548.0	12	3
C12214	Aminofructose_6-phosphate	1268.0	0	2
C03892	Phosphatidylglycerophosphate	0.0	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	140.0	7	2
C00680	meso-2,6-Diaminoheptanedioate	714.0	5	6
C02411	Glutaconyl-1-CoA	0.0	1	0
C11545	Cobalt-precorrin_8	72.0	2	2
C00689	alpha,alpha'-Trehalose_6-phosphate	6064.0	1	4
C05271	trans-Hex-2-enoyl-CoA	1167.0	2	1
C05270	Hexanoyl-CoA	4668.0	1	2
C02554	L-Valyl-tRNA(Val)	0.0	1	0
C00512	S-Benzoate_coenzyme_A	0.0	3	0
C16220	3-Hydroxyoctadecanoyl-[acp]	387.0	3	3
C01672	Cadaverine	3.0	0	1
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	4.0	0	2
C00458	dCTP	3472.0	2	14
C04895	7,8-Dihydroneopterin_3'-triphosphate	0.0	2	0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	64.0	4	4
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin	0.0	6	0
C00455	Nicotinamide_D-ribonucleotide	14.0	0	1
C01697	Galactitol	984.0	0	6
C15972	Enzyme_N6-(lipoyl)lysine	72.0	4	6
C16618	6-Thioxanthine_5'-monophosphate	84.0	1	1
C00931	Porphobilinogen	216.0	0	3
C00330	Deoxyguanosine	208.0	0	2
C00332	Acetoacetyl-CoA	35496.0	14	9
C00334	4-Aminobutanoate	36.0	4	2
C00337	(S)-Dihydroorotate	300.0	1	3
C00197	3-Phospho-D-glycerate	35640.0	22	15
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	387.0	3	3
C04122	D-1-Aminopropan-2-ol_O-phosphate	12.0	1	1
C00299	Uridine	1265.0	11	11
C00636	D-Mannose_1-phosphate	270.0	1	3
C00637	Indole-3-acetaldehyde	16.0	0	2
C00630	2-Methylpropanoyl-CoA	10503.0	0	3
C00631	2-Phospho-D-glycerate	177820.0	3	20
C02527	Butanoylphosphate	406.0	2	2
C16221	(2E)-Octadecenoyl-[acp]	1179.0	3	3
C00011	CO2	83130.0	10	17
C00208	Maltose	104.0	0	4
C00415	Dihydrofolate	0.0	2	0
C03232	3-Phosphonooxypyruvate	0.0	6	0
C01212	UDP-N-acetylmuramoyl-L-alanine	836.0	2	4
C07490	Trichloroethanol	0.0	1	0
C01217	5,6,7,8-Tetrahydromethanopterin	920.0	0	4
C00025	L-Glutamate	125184.0	18	32
C00024	Acetyl-CoA	2242711.0	33	89
C00027	Hydrogen_peroxide	0.0	1	0
C00149	(S)-Malate	2850.0	2	15
C00021	S-Adenosyl-L-homocysteine	632.0	1	4
C00020	AMP	7130.0	4	5
C00022	Pyruvate	290472.0	43	49
C00143	5,10-Methylenetetrahydrofolate	735.0	3	5
C00140	N-Acetyl-D-glucosamine	660.0	0	1
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	4.0	2	2
C00029	UDP-glucose	7770.0	6	15
C00147	Adenine	438.0	7	3
C00144	GMP	104.0	10	2
C03740	(5-L-Glutamyl)-L-amino_acid	0.0	1	0
C01079	Protoporphyrinogen_IX	0.0	3	0
C05984	2-Hydroxybutanoic_acid	13.0	0	1
C05807	2-Polyprenylphenol	72.0	0	3
C06311	Galactitol_1-phosphate	0.0	6	0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	980.0	2	7
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	988.0	2	4
C00644	D-Mannitol_1-phosphate	492.0	2	1
C06319	Precorrin_6Y	13.0	1	1
C02739	1-(5-Phospho-D-ribosyl)-ATP	384.0	4	8
C00647	Pyridoxamine_phosphate	19.0	1	1
C05726	S-Substituted_L-cysteine	0.0	2	0
C00705	dCDP	19.0	5	1
C02320	R-S-Glutathione	7.0	0	1
C01242	S-Aminomethyldihydrolipoylprotein	48.0	2	2
C02631	2-Isopropylmaleate	0.0	10	2
C02637	3-Dehydroshikimate	40.0	2	2
C03194	(R)-1-Aminopropan-2-ol	12.0	0	1
C04419	Carboxybiotin-carboxyl-carrier_protein	3044.0	1	4
C01801	Deoxyribose	1.0	0	1
C01528	Hydrogen_selenide	0.0	1	0
C02938	3-Indoleacetonitrile	28.0	0	1
C05951	Leukotriene_D4	0.0	2	0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	4.0	2	2
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	990.0	3	3
C00763	D-Proline	8480.0	2	2
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	0.0	2	0
C01137	S-Adenosylmethioninamine	48.0	4	4
C00092	D-Glucose_6-phosphate	0.0	10	0
C06035	4-Methylene-2-oxoglutarate	65.0	2	1
C02226	2-Methylmaleate	0.0	12	8
C03511	L-Phenylalanyl-tRNA(Phe)	0.0	1	0
C03512	L-Tryptophanyl-tRNA(Trp)	0.0	1	0
C06033	Parapyruvate	260.0	1	2
C12147	L-Threonine_O-3-phosphate	22.0	1	1
C00329	D-Glucosamine	4.0	0	2
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	387.0	5	3
C06408	Precorrin_8X	72.0	0	2
C02741	Phosphoribosyl-AMP	144.0	4	4
C03127	L-Isoleucyl-tRNA(Ile)	0.0	1	0
C06406	Precorrin_3B	68.0	0	2
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	172.0	2	2
C20372	3-Ketoglutaryl-[acp]_methyl_ester	472.0	2	2
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	43.0	2	1
C20376	3-Ketopimeloyl-[acp]_methyl_ester	472.0	2	2
C20375	Glutaryl-[acp]_methyl_ester	920.0	0	2
C20374	Enoylglutaryl-[acp]_methyl_ester	0.0	2	0
C05596	p-Hydroxyphenylacetylglycine	0.0	1	0
C20378	Enoylpimeloyl-[acp]_methyl_ester	0.0	1	0
C00804	Propynoate	0.0	1	0
C00969	3-Hydroxypropanal	11.0	0	1
C04257	N-Acetyl-D-mannosamine_6-phosphate	27.0	0	1
C00966	2-Dehydropantoate	6.0	5	1
C11540	Cobalt-precorrin_4	104.0	2	2
C11542	Cobalt-precorrin_6	52.0	2	2
C11543	Cobalt-dihydro-precorrin_6	52.0	2	2
C02282	Glutaminyl-tRNA	60.0	1	1
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	224.0	4	8
C01001	Formylmethanofuran	360.0	1	6
C00416	Phosphatidate	632.0	6	4
C00417	cis-Aconitate	360.0	8	6
C03460	2-Methylprop-2-enoyl-CoA	0.0	3	0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	220.0	2	2
C03345	2-Methylbut-2-enoyl-CoA	1167.0	3	1
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	4.0	2	2
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	1	1
C00627	Pyridoxine_phosphate	0.0	2	0
C05576	3,4-Dihydroxyphenylethyleneglycol	3412.0	2	2
C05577	3,4-Dihydroxymandelaldehyde	3412.0	2	2
C00378	Thiamine	35.0	1	1
C00242	Guanine	1946.0	6	7
C00245	Taurine	7.0	0	1
C00246	Butanoic_acid	465.0	3	3
C16587	3-Carbamoyl-2-phenylpropionaldehyde	0.0	1	0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	22.0	0	1
C00568	4-Aminobenzoate	688.0	1	4
C01099	L-Fuculose_1-phosphate	1.0	0	1
C01097	D-Tagatose_6-phosphate	8360.0	0	10
C01096	Sorbitol_6-phosphate	5.0	3	1
C01094	D-Fructose_1-phosphate	3882.0	6	3
C05682	Phosphonoacetate	84.0	0	2
C00341	Geranyl_diphosphate	162.0	3	3
C00342	Thioredoxin	2779.0	3	7
C00343	Thioredoxin_disulfide	2220.0	6	2
C00344	Phosphatidylglycerol	576.0	0	4
C05684	Selenite	555.0	0	1
C00061	FMN	48.0	3	1
C00060	Carboxylate	0.0	1	0
C00063	CTP	28120.0	0	10
C00062	L-Arginine	186.0	0	3
C00065	L-Serine	13916.0	9	14
C00064	L-Glutamine	22500.0	13	18
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3200.0	3	10
C16633	5-Fluorouridine	11.0	0	1
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	0.0	0	2
C16631	alpha-Fluoro-beta-ureidopropionic_acid	0.0	1	0
C16630	5,6-Dihydro-5-fluorouracil	4.0	0	1
C16635	5'-Deoxy-5-fluorocytidine	34.0	0	1
C16634	5-Fluorouridine_monophosphate	0.0	1	0
C19673	Malonyl-[acp]_methyl_ester	920.0	0	2
C05923	2,5-Diaminopyrimidine_nucleoside_triphosphate	172.0	2	2
C05922	Formamidopyrimidine_nucleoside_triphosphate	172.0	2	2
C05921	Biotinyl-5'-AMP	8.0	2	2
C00748	Siroheme	1.0	2	1
C04079	N-((R)-Pantothenoyl)-L-cysteine	55.0	0	1
C00668	alpha-D-Glucose_6-phosphate	27053.0	19	13
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil	324.0	2	2
C00666	LL-2,6-Diaminoheptanedioate	256.0	5	4
C00663	beta-D-Glucose_1-phosphate	6.0	1	1
C02163	L-Arginyl-tRNA(Arg)	0.0	1	0
C00988	2-Phosphoglycolate	90.0	0	3
C00989	4-Hydroxybutanoic_acid	109.0	0	1
C00114	Choline	0.0	1	0
C00117	D-Ribose_5-phosphate	27650.0	14	14
C00116	Glycerol	6.0	1	1
C00111	Glycerone_phosphate	12474.0	21	6
C02380	6-Mercaptopurine	51.0	0	1
C00112	CDP	355.0	2	5
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1736.0	13	7
C00118	D-Glyceraldehyde_3-phosphate	527046.0	22	39
C06416	Precorrin_5	0.0	2	0
C11929	Perillyl-CoA	585.0	0	3
C00231	D-Xylulose_5-phosphate	1293.0	26	3
C11924	Perillic_acid	0.0	2	0
C05750	3-Oxooctanoyl-[acp]	472.0	4	2
C02412	Glycyl-tRNA(Gly)	0.0	2	0
C05752	Octanoyl-[acp]	2070.0	3	3
C05753	3-Oxodecanoyl-[acp]	472.0	4	2
C05754	trans-Dec-2-enoyl-[acp]	1179.0	3	3
C05755	Decanoyl-[acp]	2070.0	3	3
C05756	3-Oxododecanoyl-[acp]	1062.0	3	3
C05757	(R)-3-Hydroxydodecanoyl-[acp]	387.0	3	3
