Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_StD	Relationshiop	Confidence
C00369	Starch	3.977	2.696	5.412	above	none
C05703	Methaneselenol	-8.116	-6.076	1.137	n.s	none
C06613	trans-3-Chloroallyl_aldehyde	-7.993	-2.0	4.139	n.s	none
C06507	Adenosyl_cobyrinate_hexaamide	0.0	-1.5	5.842	above	none
C16619	6-Thioguanosine_monophosphate	-6.077	-6.16	1.072	above	none
C11062	4-Hydroxybutyryl-CoA	6.907	5.322	2.21	above	none
C02612	(R)-2-Methylmalate	0.0	5.989	1.223	n.s	none
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.672	-5.726	1.7	above	none
C16614	6-Methylmercaptopurine	5.672	5.726	1.7	n.s	none
C00645	N-Acetyl-D-mannosamine	-4.492	-6.219	1.182	above	none
C00099	beta-Alanine	1.939	-3.0	5.367	above	none
C00311	Isocitrate	0.687	-1.292	4.56	above	none
C00310	D-Xylulose	-3.17	2.5	6.276	n.s	none
C00641	1,2-Diacyl-sn-glycerol	-2.0	3.246	5.313	n.s	none
C01931	L-Lysyl-tRNA	-7.209	-6.066	1.929	n.s	none
C00315	Spermidine	0.0	0.0	0.0	n.s	none
C00314	Pyridoxine	4.248	6.054	1.651	n.s	none
C00091	Succinyl-CoA	5.083	2.322	3.607	above	none
C00760	Cellulose	-0.415	-1.292	5.519	above	none
C00093	sn-Glycerol_3-phosphate	5.541	-2.085	5.483	above	none
C00094	Sulfite	-1.636	0.0	2.3	n.s	none
C00095	D-Fructose	-4.066	-3.085	5.626	n.s	none
C00096	GDP-mannose	0.0	0.0	0.0	n.s	none
C00097	L-Cysteine	4.553	3.246	5.126	above	none
C14099	2-Naphthaldehyde	-9.736	-6.248	1.161	n.s	none
C06311	Galactitol_1-phosphate	-4.773	-6.426	0.943	above	none
C00433	2,5-Dioxopentanoate	2.0	5.658	1.72	n.s	none
C14090	1-Naphthaldehyde	-9.736	-6.248	1.161	n.s	none
C14095	2-Hydroxy-3-carboxybenzalpyruvate	6.022	6.258	1.831	n.s	none
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.322	6.338	1.658	n.s	none
C14096	3-Formylsalicylic_acid	-6.022	-6.258	1.831	above	none
C02702	L-Prolyl-tRNA(Pro)	-8.443	-5.57	1.81	n.s	none
C04732	5-Amino-6-(1-D-ribitylamino)uracil	6.82	2.877	6.154	above	none
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	0.0	0.0	n.s	none
C05172	Selenophosphoric_acid	1.585	6.129	2.101	n.s	none
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.585	5.919	1.518	n.s	none
C11949	3-Isopropylbut-3-enoyl-CoA	-2.585	-5.919	1.518	above	*
C05775	alpha-Ribazole	-3.0	-3.391	5.566	above	none
C07118	Benzoyl_acetyl-CoA	2.585	5.919	1.518	n.s	none
C05773	Cobyrinate	-4.17	-5.942	1.812	above	none
C05778	Sirohydrochlorin	3.248	-2.696	4.946	above	none
C05670	3-Aminopropiononitrile	2.807	6.219	1.734	n.s	none
C00164	Acetoacetate	0.0	-3.907	5.163	above	none
C00166	Phenylpyruvate	4.376	0.0	3.925	above	none
C00167	UDP-glucuronate	-5.585	-5.768	2.123	above	none
C00160	Glycolate	8.143	2.161	5.704	above	none
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.939	0.0	4.337	n.s	none
C00162	Fatty_acid	2.0	5.658	1.72	n.s	none
C00163	Propanoate	7.852	5.942	1.61	above	none
C02984	L-Aspartyl-tRNA(Asp)	-6.392	-6.088	1.471	n.s	none
C02987	L-Glutamyl-tRNA(Glu)	-5.524	-5.728	1.92	above	none
C00169	Carbamoyl_phosphate	-4.987	-3.643	5.292	n.s	none
C02047	L-Leucyl-tRNA	-5.954	-6.044	2.126	above	none
C03082	4-Phospho-L-aspartate	3.926	0.0	5.418	above	none
C04377	5,10-Methylenetetrahydromethanopterin	-4.755	-6.303	1.736	above	none
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.392	-3.246	5.998	above	none
C20396	Methylphosphonate	0.0	6.375	0.717	n.s	none
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.684	2.807	5.519	n.s	none
C03089	5-Methylthio-D-ribose	0.0	0.0	0.0	n.s	none
C00860	L-Histidinol	-4.248	-1.0	5.692	n.s	none
C00862	Methanofuran	0.0	0.0	0.0	n.s	none
C02962	D-Allose_6-phosphate	6.426	6.066	1.978	above	none
C00864	Pantothenate	5.459	0.5	5.847	above	none
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	-2.807	5.269	above	none
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	0.0	0.0	n.s	none
C00906	5,6-Dihydrothymine	2.0	6.13	1.59	n.s	none
C01419	Cys-Gly	7.082	3.085	5.85	above	none
C16186	L-Ascorbate_6-phosphate	-2.17	-6.258	1.041	above	*
C01149	4-Trimethylammoniobutanal	2.0	5.658	1.72	n.s	none
C01144	(S)-3-Hydroxybutanoyl-CoA	6.659	1.292	4.433	above	none
C01146	2-Hydroxy-3-oxopropanoate	0.0	-5.829	1.799	above	*
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	n.s	none
C01142	(3S)-3,6-Diaminohexanoate	-3.807	-6.13	1.828	above	none
C06510	Adenosine-GDP-cobinamide	-2.585	-1.5	5.879	n.s	none
C03561	(R)-3-Hydroxybutanoyl-CoA	9.127	5.954	1.7	above	none
C03402	L-Asparaginyl-tRNA(Asn)	-5.977	-5.87	1.986	n.s	none
C03406	N-(L-Arginino)succinate	-4.248	-5.87	1.919	above	none
C05512	Deoxyinosine	4.97	0.0	5.289	above	none
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	0.0	0.0	n.s	none
C07645	Aldophosphamide	4.459	5.475	1.81	n.s	none
C07648	Thioguanine	5.672	5.726	1.7	n.s	none
C05519	L-Allothreonine	0.0	0.0	0.0	n.s	none
C00327	L-Citrulline	4.233	-2.807	5.792	above	none
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.644	-1.792	6.011	n.s	none
C02320	R-S-Glutathione	2.807	6.219	1.734	n.s	none
C02352	1,4-beta-D-Xylan	0.0	5.768	1.947	n.s	none
C02463	Precorrin_2	0.0	6.033	1.888	n.s	none
C05269	3-Oxohexanoyl-CoA	-9.152	-5.794	2.018	n.s	none
C03232	3-Phosphonooxypyruvate	-2.322	-6.258	1.835	above	*
C18096	D-Allulose_6-phosphate	-6.426	-6.066	1.978	n.s	none
C00269	CDP-diacylglycerol	-3.17	2.564	5.777	n.s	none
C09814	Benzonitrile	4.807	6.021	1.951	n.s	none
C11539	Cobalt-precorrin_3	4.087	6.149	2.011	n.s	none
C11538	Cobalt-sirohydrochlorin	-4.322	-5.54	1.798	above	none
C00263	L-Homoserine	0.0	0.0	2.678	n.s	none
C00262	Hypoxanthine	-4.534	-0.5	4.655	n.s	none
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	0.0	0.0	n.s	none
C16216	3-Oxostearoyl-CoA	6.883	5.942	1.576	above	none
C00267	alpha-D-Glucose	3.624	3.161	5.413	above	none
C00266	Glycolaldehyde	-4.858	-6.285	1.717	above	none
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.322	0.0	5.755	n.s	none
C00402	D-Aspartate	-5.129	-5.976	1.787	above	none
C00460	dUTP	4.087	5.907	1.61	n.s	none
C00286	dGTP	-7.386	3.954	5.542	n.s	none
C00283	Hydrogen_sulfide	0.1	-2.792	4.328	above	none
C00282	Hydrogen	-5.524	-5.883	1.932	above	none
C00320	Thiosulfate	0.0	0.0	0.0	n.s	none
C01962	Thiocysteine	-3.585	-6.554	1.795	above	none
C00088	Nitrite	0.0	0.0	0.0	n.s	none
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-0.0	-2.0	5.879	above	none
C02218	Dehydroalanine	-4.858	-5.929	1.745	above	none
C05947	L-erythro-4-Hydroxyglutamate	0.0	0.0	0.0	n.s	none
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	n.s	none
C01209	Malonyl-[acyl-carrier_protein]	6.164	2.807	6.065	above	none
C00217	D-Glutamate	3.755	3.7	5.29	above	none
C00214	Thymidine	0.0	0.0	0.0	n.s	none
C00212	Adenosine	6.381	6.098	0.908	above	none
C00606	3-Sulfino-L-alanine	-5.298	-2.322	4.109	n.s	none
C06399	Hydrogenobyrinate	-4.17	-5.942	1.812	above	none
C05841	Nicotinate_D-ribonucleoside	5.7	5.63	2.043	above	none
C00035	GDP	-5.527	0.0	5.292	n.s	none
C05844	5-L-Glutamyl-taurine	-2.807	-6.219	1.734	above	*
C00033	Acetate	7.669	-3.58	5.524	above	*
C00031	D-Glucose	0.485	3.58	5.888	n.s	none
C00136	Butanoyl-CoA	-6.572	-3.0	4.414	n.s	none
C00135	L-Histidine	5.459	0.792	5.777	above	none
C00134	Putrescine	2.322	0.0	5.332	above	none
C00133	D-Alanine	-4.945	3.377	5.653	n.s	none
C00131	dATP	4.959	0.0	4.195	above	none
C00130	IMP	4.658	-2.161	4.918	above	none
C05635	5-Hydroxyindoleacetate	-2.0	-5.658	1.72	above	*
C05634	5-Hydroxyindoleacetaldehyde	2.0	5.658	1.72	n.s	none
C06112	L-Glutamyl-tRNA(Gln)	0.0	0.0	0.0	n.s	none
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.7	1.585	4.753	n.s	none
C00041	L-Alanine	3.907	0.0	5.216	above	none
C00040	Acyl-CoA	5.66	6.285	0.713	n.s	none
C00047	L-Lysine	5.298	2.322	5.203	above	none
C00046	RNA	-6.642	-3.391	4.668	n.s	none
C00044	GTP	-7.402	1.585	4.53	n.s	none
C00049	L-Aspartate	-4.259	0.5	4.281	n.s	none
C00048	Glyoxylate	-5.248	-1.0	2.762	n.s	none
C02642	3-Ureidopropionate	-2.0	-6.13	1.59	above	*
C00149	(S)-Malate	0.222	-2.807	4.086	above	none
C06481	L-Seryl-tRNA(Sec)	-6.714	4.522	5.891	n.s	none
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	3.322	1.661	6.054	above	none
C06482	L-Selenocysteinyl-tRNA(Sec)	-1.585	-6.129	2.101	above	*
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	-5.832	2.003	above	*
C01101	L-Ribulose_5-phosphate	0.0	5.87	1.813	n.s	none
C01100	L-Histidinol_phosphate	3.663	0.0	5.231	above	none
C01103	Orotidine_5'-phosphate	-4.0	2.454	5.396	n.s	none
C01102	O-Phospho-L-homoserine	0.0	0.0	0.0	n.s	none
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	0.0	3.666	n.s	none
C03688	Apo-[acyl-carrier-protein]	3.907	5.883	1.522	n.s	none
C06002	(S)-Methylmalonate_semialdehyde	2.0	5.658	1.72	n.s	none
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.0	-2.807	5.269	above	none
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	-1.292	5.939	above	none
C00227	Acetyl_phosphate	1.408	0.0	1.706	above	none
C16565	Aminopropylcadaverine	-1.585	-5.74	1.706	above	*
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-5.814	1.954	5.441	n.s	none
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-1.0	-6.516	0.88	above	*
C00954	Indole-3-acetate	-3.585	-6.119	1.133	above	*
C00957	Mercaptopyruvate	-4.6	-2.322	4.075	n.s	none
C05345	beta-D-Fructose_6-phosphate	6.071	-2.696	4.977	above	none
C00818	D-Glucarate	-2.0	-5.658	1.72	above	*
C00819	D-Glutamine	0.0	0.0	0.0	n.s	none
C00424	(S)-Lactaldehyde	-0.0	-6.2	1.791	above	*
C00429	5,6-Dihydrouracil	2.0	6.13	1.59	n.s	none
C00817	D-Altronate	0.0	0.0	0.0	n.s	none
C03451	(R)-S-Lactoylglutathione	4.644	5.954	1.752	n.s	none
C01672	Cadaverine	1.585	5.74	1.706	n.s	none
C00036	Oxaloacetate	3.737	2.904	3.764	above	none
C05223	Dodecanoyl-[acyl-carrier_protein]	6.629	4.17	5.891	above	none
C00037	Glycine	-4.897	-1.0	4.989	n.s	none
C15809	Iminoglycine	0.0	5.833	1.977	n.s	none
C16698	N-Acetylmuramic_acid_6-phosphate	-0.585	-6.219	1.198	above	*
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	0.0	0.0	n.s	none
C02512	3-Cyano-L-alanine	2.807	6.219	1.734	n.s	none
C00253	Nicotinate	-5.939	-6.18	1.174	above	none
C00250	Pyridoxal	4.248	6.054	1.651	n.s	none
C00251	Chorismate	1.97	2.989	5.056	n.s	none
C00256	(R)-Lactate	8.69	5.966	1.509	above	none
C05338	4-Hydroxyphenylacetyl-CoA	2.585	5.919	1.518	n.s	none
C00255	Riboflavin	-3.585	-3.454	5.923	n.s	none
C05336	Selenomethionyl-tRNA(Met)	-5.807	-5.794	1.745	n.s	none
C00392	Mannitol	7.842	6.109	1.321	above	none
C00258	D-Glycerate	-1.0	-2.322	4.944	above	none
C05335	L-Selenomethionine	2.807	-2.989	5.772	above	none
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-4.459	-5.475	1.81	above	none
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	4.954	6.076	1.87	n.s	none
C01081	Thiamin_monophosphate	-0.0	-5.919	1.863	above	*
C01083	alpha,alpha-Trehalose	1.585	6.257	1.789	n.s	none
C00559	Deoxyadenosine	-4.97	0.0	5.289	n.s	none
C00491	L-Cystine	3.585	6.554	1.795	n.s	none
C00492	Raffinose	0.0	6.0	1.854	n.s	none
C00493	Shikimate	0.0	0.5	3.982	n.s	none
C00555	4-Aminobutyraldehyde	2.0	5.658	1.72	n.s	none
C01089	(R)-3-Hydroxybutanoate	0.0	5.966	1.829	n.s	none
C00498	ADP-glucose	-3.261	2.161	4.835	n.s	none
C00882	Dephospho-CoA	-3.322	-2.585	5.953	n.s	none
C00881	Deoxycytidine	5.087	6.2	1.776	n.s	none
C00078	L-Tryptophan	5.954	5.977	1.84	n.s	none
C00079	L-Phenylalanine	2.24	0.0	2.736	above	none
C00072	Ascorbate	2.17	6.258	1.041	n.s	none
C00073	L-Methionine	4.511	0.0	5.334	above	none
C00071	Aldehyde	-8.743	-6.257	0.907	n.s	none
C00077	L-Ornithine	3.621	-2.161	5.487	above	none
C00074	Phosphoenolpyruvate	-7.772	0.5	5.178	n.s	none
C00075	UTP	8.334	6.401	0.696	above	*
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-6.34	-6.076	1.841	n.s	none
C00039	DNA	0.0	0.0	0.0	n.s	none
C03127	L-Isoleucyl-tRNA(Ile)	-7.022	-5.658	1.951	n.s	none
C00085	D-Fructose_6-phosphate	7.454	0.0	5.766	above	none
C00084	Acetaldehyde	8.197	-2.161	4.956	above	*
C00083	Malonyl-CoA	-5.644	0.0	5.832	n.s	none
C00082	L-Tyrosine	-2.442	0.0	2.264	n.s	none
C00080	H+	5.524	5.883	1.932	n.s	none
C16630	5,6-Dihydro-5-fluorouracil	2.0	6.13	1.59	n.s	none
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.954	-2.696	6.136	n.s	none
C03175	Shikimate_3-phosphate	0.0	-2.0	4.945	above	none
C00089	Sucrose	0.0	6.219	1.19	n.s	none
C04646	6-Thioinosine-5'-monophosphate	6.459	-1.792	5.638	above	none
C00670	sn-Glycero-3-phosphocholine	1.0	6.18	1.954	n.s	none
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.0	-5.7	2.117	above	*
C00672	2-Deoxy-D-ribose_1-phosphate	5.585	-2.954	5.811	above	none
C00673	2-Deoxy-D-ribose_5-phosphate	-3.755	0.0	5.742	n.s	none
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	-2.0	-5.628	1.9	above	none
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	-1.292	5.079	above	none
C01929	L-Histidinal	0.0	0.0	0.0	n.s	none
C05936	N4-Acetylaminobutanal	2.0	5.658	1.72	n.s	none
C00106	Uracil	4.358	2.0	5.268	above	none
C00105	UMP	0.0	0.0	3.632	n.s	none
C00103	D-Glucose_1-phosphate	4.175	-1.792	5.341	above	none
C00100	Propanoyl-CoA	-7.543	0.0	5.163	n.s	none
C00101	Tetrahydrofolate	3.235	-2.696	4.684	above	none
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	4.585	4.392	5.941	above	none
C00109	2-Oxobutanoate	2.775	1.292	5.4	above	none
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.807	-2.904	5.779	above	none
C00363	dTDP	-3.17	-5.686	1.849	above	none
C15980	(S)-2-Methylbutanoyl-CoA	0.0	0.0	0.0	n.s	none
C05764	Hexadecanoyl-[acp]	6.629	4.17	5.891	above	none
C06899	Chloral_hydrate	4.459	5.475	1.81	n.s	none
C05761	Tetradecanoyl-[acp]	6.629	4.17	5.891	above	none
C05760	trans-Tetradec-2-enoyl-[acp]	6.459	-3.17	5.674	above	none
C05763	trans-Hexadec-2-enoyl-[acp]	6.459	-3.17	5.674	above	none
C05762	3-Oxohexadecanoyl-[acp]	-6.392	-1.292	5.472	n.s	none
C00361	dGDP	7.349	-2.161	5.298	above	none
C00170	5'-Methylthioadenosine	2.874	0.0	3.615	above	none
C02670	D-Glucuronolactone	2.0	5.658	1.72	n.s	none
C02992	L-Threonyl-tRNA(Thr)	-6.409	-5.966	1.846	n.s	none
C00179	Agmatine	1.0	-2.292	5.892	above	none
C00178	Thymine	0.0	0.0	0.0	n.s	none
C02995	Maltose_6'-phosphate	2.807	-3.935	5.911	above	none
C00447	Sedoheptulose_1,7-bisphosphate	0.0	0.0	0.0	n.s	none
C03090	5-Phosphoribosylamine	2.848	-2.807	5.022	above	none
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-4.426	-6.229	1.022	above	none
C07086	Phenylacetic_acid	-4.807	-6.021	1.951	above	none
C01077	O-Acetyl-L-homoserine	3.0	6.139	1.992	n.s	none
C02972	Dihydrolipoylprotein	5.322	5.895	1.692	n.s	none
C11434	2-C-Methyl-D-erythritol_4-phosphate	0.0	0.0	0.0	n.s	none
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.737	-1.0	4.393	above	none
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.415	0.0	4.45	n.s	none
C00857	Deamino-NAD+	4.322	-3.661	6.051	above	none
C02412	Glycyl-tRNA(Gly)	-6.418	-5.977	1.22	n.s	none
C00853	Cob(I)alamin	3.585	6.088	1.735	n.s	none
C01179	3-(4-Hydroxyphenyl)pyruvate	0.609	0.0	0.826	above	none
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.17	0.0	5.896	n.s	none
C01170	UDP-N-acetyl-D-mannosamine	0.0	0.0	0.0	n.s	none
C04411	(2R,3S)-3-Isopropylmalate	0.0	-2.989	5.281	above	none
C01172	beta-D-Glucose_6-phosphate	6.208	-2.696	5.103	above	none
C00473	Retinol	4.459	5.475	1.81	n.s	none
C03892	Phosphatidylglycerophosphate	-4.807	-5.714	1.965	above	none
C00681	1-Acyl-sn-glycerol_3-phosphate	-4.886	-2.807	5.373	n.s	none
C00680	meso-2,6-Diaminoheptanedioate	1.397	0.0	5.41	above	none
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	0.0	0.0	0.0	n.s	none
C02411	Glutaconyl-1-CoA	-6.022	-6.258	1.831	above	none
C02839	L-Tyrosyl-tRNA(Tyr)	-6.19	-5.907	2.097	n.s	none
C04257	N-Acetyl-D-mannosamine_6-phosphate	4.755	6.022	1.758	n.s	none
C00689	alpha,alpha'-Trehalose_6-phosphate	8.555	0.0	5.884	above	none
C05271	trans-Hex-2-enoyl-CoA	0.0	0.0	0.0	n.s	none
C05270	Hexanoyl-CoA	0.0	0.0	0.0	n.s	none
C02554	L-Valyl-tRNA(Val)	-6.658	-6.055	1.597	n.s	none
C00512	S-Benzoate_coenzyme_A	-2.585	-5.919	1.518	above	*
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.229	2.404	5.835	n.s	none
C00921	Dihydropteroate	-3.7	-1.585	5.847	n.s	none
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	0.0	5.953	1.755	n.s	none
C00458	dCTP	-6.604	3.989	5.782	n.s	none
C04895	7,8-Dihydroneopterin_3'-triphosphate	-5.426	-6.139	2.068	above	none
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.322	4.168	6.168	n.s	none
C00376	Retinal	-4.459	-5.475	1.81	above	none
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin	-5.845	-6.322	1.137	above	none
C00455	Nicotinamide_D-ribonucleotide	3.807	6.409	1.752	n.s	none
C01697	Galactitol	4.773	6.426	0.943	n.s	none
C15972	Enzyme_N6-(lipoyl)lysine	-5.248	2.792	5.941	n.s	none
C16618	6-Thioxanthine_5'-monophosphate	-5.781	3.292	5.743	n.s	none
C00330	Deoxyguanosine	5.7	5.63	2.043	above	none
C00332	Acetoacetyl-CoA	-6.936	0.5	3.776	n.s	none
C00334	4-Aminobutanoate	1.907	3.085	5.618	n.s	none
C00337	(S)-Dihydroorotate	4.544	3.522	5.335	above	none
C05699	L-Selenocystathionine	3.585	6.554	1.795	n.s	none
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.229	2.404	5.835	n.s	none
C04122	D-1-Aminopropan-2-ol_O-phosphate	-3.322	3.246	6.108	n.s	none
C00636	D-Mannose_1-phosphate	0.0	0.0	0.0	n.s	none
C00637	Indole-3-acetaldehyde	2.0	5.658	1.72	n.s	none
C00630	2-Methylpropanoyl-CoA	10.189	6.033	1.851	above	*
C00631	2-Phospho-D-glycerate	-4.33	0.0	1.401	n.s	none
C02527	Butanoylphosphate	0.0	0.0	0.0	n.s	none
C16221	(2E)-Octadecenoyl-[acp]	6.459	-3.17	5.674	above	none
C00208	Maltose	2.7	6.418	0.894	n.s	none
C01001	Formylmethanofuran	0.0	0.0	0.0	n.s	none
C05985	2-Propynal	2.0	5.658	1.72	n.s	none
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.569	-1.0	3.919	n.s	none
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.2	-1.161	5.636	n.s	none
C07490	Trichloroethanol	-4.459	-5.475	1.81	above	none
C01217	5,6,7,8-Tetrahydromethanopterin	5.845	6.322	1.137	n.s	none
C00025	L-Glutamate	-3.388	-2.322	4.344	n.s	none
C00024	Acetyl-CoA	-8.135	-1.954	4.219	n.s	none
C00148	L-Proline	9.245	0.0	4.589	above	*
C00026	2-Oxoglutarate	-4.308	-2.0	4.215	n.s	none
C00021	S-Adenosyl-L-homocysteine	4.492	-2.085	5.608	above	none
C00020	AMP	6.499	0.0	3.284	above	*
C00022	Pyruvate	-6.852	2.807	4.33	n.s	none
C00143	5,10-Methylenetetrahydrofolate	-4.165	2.696	4.43	n.s	none
